Was	PWS.Acc.Sg.Neut	was
ich	PPER.1.Nom.Sg.*	ich
zu	PTKZU	zu
berichten	VVINF.Inf	berichten
beabſichtige	VVFIN.1.Sg.Pres.Ind	beab<unk>ichtigen
,	$,	,
iſt	VAFIN.3.Sg.Pres.Ind	sein
mir	PPER.1.Dat.Sg.*	mir
vor	APPR	vor
reichlich	ADJD.Pos	reichlich
einem	ART.Dat.Sg.Neut	ein
halben	ADJA.Pos.Dat.Sg.Neut	halben
Jahrhundert	NN.Dat.Sg.Neut	Jahrhundert
im	APPRART.Dat.Sg.Neut	in
Hauſe	NN.Dat.Sg.Neut	Hau<unk>e
meiner	PPOSAT.Gen.Sg.Fem	mein
Urgroßmutter	NN.Gen.Sg.Fem	Urgroßmutter
,	$,	,
der	ART.Gen.Sg.Fem	der
alten	ADJA.Pos.Gen.Sg.Fem	alt
Frau	NN.Gen.Sg.Fem	Frau
Senator	NN.Nom.Sg.Masc	Senator
Fedderſen	NE.Nom.Sg.Fem	Fedder<unk>en
,	$,	,
kund	ADJD.Pos	kund
geworden	VAPP.Psp	werden
,	$,	,
während	KOUS	während
ich	PPER.1.Nom.Sg.*	ich
,	$,	,
an	APPR	an
ihrem	PPOSAT.Dat.Sg.Masc	ihr
Lehnſtuhl	NN.Dat.Sg.Masc	Lehn<unk>tuhl
ſitzend	ADJD.Pos	<unk>
,	$,	,
mich	PPER.1.Acc.Sg.*	mich
mit	APPR	mit
dem	ART.Dat.Sg.Neut	der
Leſen	NN.Dat.Sg.Neut	Le<unk>en
eines	ART.Gen.Sg.Neut	ein
in	APPR	in
blaue	ADJA.Pos.Acc.Sg.Fem	blau
Pappe	NN.Acc.Sg.Fem	Pappe
eingebundenen	ADJA.Pos.Gen.Sg.Neut	eingebundenen
Zeitſchriftenheftes	NN.Gen.Sg.Neut	Zeit<unk>chriftenheft
beſchäftigte	VVFIN.1.Sg.Past.Ind	be<unk>chäftigen
;	$.	;
ich	PPER.1.Nom.Sg.*	ich
vermag	VVFIN.1.Sg.Pres.Ind	vermögen
mich	PRF.1.Acc.Sg	sich
nicht	PTKNEG	nicht
mehr	ADV	mehr
zu	PTKZU	zu
entſinnen	VVINF.Inf	ent<unk>innen
,	$,	,
ob	KOUS	ob
von	APPR	von
den	ART.Dat.Pl.Fem	der
„	$(	„
Leipziger	ADJA.Pos.*.*.*	Leipziger
“	FM	“
oder	KON	oder
von	APPR	von
„	APPR	„
Pappes	NE.Gen.Sg.*	Pappe
Hamburger	ADJA.Pos.*.*.*	Hamburger
Leſefrüchten	NN.Dat.Pl.Fem	Le<unk>efrucht
“	$(	“
.	$.	.

