Mein	PPOSAT.Nom.Sg.Neut	mein
Haus	NN.Nom.Sg.Neut	Haus
steht	VVFIN.3.Sg.Pres.Ind	stehen
auf	APPR	auf
dem	ART.Dat.Sg.Neut	der
Lande	NN.Dat.Sg.Neut	Land
,	$,	,
in	APPR	in
einer	ART.Dat.Sg.Fem	ein
holzreichen	ADJA.Pos.Dat.Sg.Fem	holzreich
Gegend	NN.Dat.Sg.Fem	Gegend
zwischen	APPR	zwischen
einem	ART.Dat.Sg.Neut	ein
Kirchdorf	NN.Dat.Sg.Neut	Kirchdorf
und	KON	und
einem	ART.Dat.Sg.Masc	ein
kleinen	ADJA.Pos.Dat.Sg.Masc	klein
,	$,	,
in	APPR	in
breiten	ADJA.Pos.Dat.Pl.Fem	breit
Kastanien-Alleen	NN.Dat.Pl.Fem	Kastanien-Allee
fast	ADV	fast
vergrabenen	ADJA.Pos.Dat.Sg.Masc	vergraben
Orte	NN.Dat.Sg.Masc	Ort
,	$,	,
welcher	PWS.Nom.Sg.Masc	welcher
allmälig	ADJD.Pos	allmälig
um	APPR	um
einen	ART.Acc.Sg.Masc	ein
Gutshof	NN.Acc.Sg.Masc	Gutshof
aufgewachsen	VVPP.Psp	aufwachsen
ist	VAFIN.3.Sg.Pres.Ind	sein
,	$,	,
von	APPR	von
beiden	PIS.Dat.Pl.*	beide
kaum	ADV	kaum
zehn	CARD	zehn
Minuten	NN.Dat.Pl.Fem	Minute
fern	PTKVZ	fern
.	$.	.

