Unsern	PPOSAT.Acc.Sg.Masc	unser
Blick	NN.Nom.Sg.Masc	Blick
auf	APPR	auf
einen	ART.Acc.Sg.Masc	ein
weiten	ADJA.Pos.Acc.Sg.Masc	weit
Landsee	NN.Acc.Sg.Masc	Landsee
in	APPR	in
dem	ART.Dat.Sg.Neut	der
wasserreichen	ADJA.Pos.Dat.Sg.Neut	wasserreichen
Holland	NE.Dat.Sg.Neut	Holland
richtend	ADJD.Pos	richtend
,	$,	,
betrachten	VVFIN.1.Pl.Pres.Ind	betrachten
wir	PPER.1.Nom.Pl.*	wir
jenen	PDAT.Acc.Sg.Masc	jener
kleinen	ADJA.Pos.Acc.Sg.Masc	klein
Nachen	NN.Acc.Sg.Masc	Nache
,	$,	,
der	PRELS.Nom.Sg.Masc	der
,	$,	,
von	APPR	von
kräftigen	ADJA.Pos.Dat.Pl.Masc	kräftig
Ruderschlägen	NN.Dat.Pl.Masc	Ruderschlag
eines	ART.Gen.Sg.Masc	ein
jungen	ADJA.Pos.Gen.Sg.Masc	jung
Landmannes	NN.Gen.Sg.Masc	Landmann
getrieben	VVPP.Psp	treiben
,	$,	,
über	APPR	über
den	ART.Acc.Sg.Masc	der
glatten	ADJA.Pos.Acc.Sg.Masc	glatt
,	$,	,
im	APPRART.Dat.Sg.Masc	in
Sonnenglanze	NN.Dat.Sg.Masc	Sonnenglanz
blendend	ADJD.Pos	blendend
schimmernden	ADJA.Pos.Acc.Sg.Masc	schimmernd
Wasserspiegel	NN.Acc.Sg.Masc	Wasserspiegel
dahin	PROAV	dahin
fliegt	VVFIN.3.Sg.Pres.Ind	fliegen
.	$.	.

