Treten	VVFIN.3.Pl.Pres.Ind	treten
Sie	PPER.3.Nom.Pl.*	sie
nur	ADV	nur
indeß	ADV	indeß
hier	ADV	hier
in	APPR	in
den	ART.Acc.Sg.Masc	der
Bildersaal	NN.Acc.Sg.Masc	Bildersaal
,	$,	,
sagte	VVFIN.3.Sg.Past.Ind	sagen
der	ART.Nom.Sg.Masc	der
Diener	NN.Nom.Sg.Masc	Diener
,	$,	,
indem	KOUS	indem
er	PPER.3.Nom.Sg.Masc	er
den	ART.Acc.Sg.Masc	der
jungen	ADJA.Pos.Acc.Sg.Masc	jung
Eduard	NN.Acc.Sg.Masc	Eduard
herein	APZR	herein
ließ	VVFIN.3.Sg.Past.Ind	lassen
,	$,	,
der	ART.Nom.Sg.Masc	der
alte	ADJA.Pos.Nom.Sg.Masc	alt
Herr	NN.Nom.Sg.Masc	Herr
wird	VAFIN.3.Sg.Pres.Ind	werden
gleich	ADV	gleich
zu	APPR	zu
Ihnen	PPER.3.Dat.Pl.*	ihnen
kommen	VVINF.Inf	kommen
.	$.	.

