Fünf	CARD	fünf
Stunden	NN.Acc.Pl.Fem	Stunde
von	APPR	von
Münster	NE.Dat.Sg.Neut	Münster
in	APPR	in
Westfalen	NE.Dat.Sg.Neut	Westfalen
liegt	VVFIN.3.Sg.Pres.Ind	liegen
ein	ART.Nom.Sg.Neut	ein
jetzt	ADV	jetzt
sehr	ADV	sehr
bescheidenes	ADJA.Pos.Nom.Sg.Neut	bescheidenes
Dorf	NN.Nom.Sg.Neut	Dorf
,	$,	,
welches	PRELS.Nom.Sg.Neut	welcher
noch	ADV	noch
vor	APPR	vor
einem	ART.Dat.Sg.Neut	ein
halben	ADJA.Pos.Dat.Sg.Neut	halben
Jahrhundert	NN.Dat.Sg.Neut	Jahrhundert
ein	ART.Nom.Sg.Neut	ein
blühendes	ADJA.Pos.Nom.Sg.Neut	blühende
Städtchen	NN.Nom.Sg.Neut	Städtchen
gewesen	VAPP.Psp	sein
ist	VAFIN.3.Sg.Pres.Ind	sein
;	$.	;
denn	KON	denn
damals	ADV	damals
war	VAFIN.3.Sg.Past.Ind	sein
es	PPER.3.Nom.Sg.Neut	es
der	ART.Nom.Sg.Masc	der
Sommeraufenthalt	NN.Nom.Sg.Masc	Sommeraufenthalt
des	ART.Gen.Sg.Masc	der
geistlichen	ADJA.Pos.Gen.Sg.Masc	geistlich
Landesherrn	NN.Gen.Sg.Masc	Landesherr
,	$,	,
des	ART.Gen.Sg.Masc	der
Kurfürsten	NN.Gen.Sg.Masc	Kurfürst
von	APPR	von
Köln	NE.Dat.Sg.Neut	Köln
und	KON	und
Fürstbischofs	NN.Dat.Pl.Masc	Fürstbischof
von	APPR	von
Münster	NE.Dat.Sg.Neut	Münster
.	$.	.

