Einer	PIS.Nom.Sg.Masc	einer
meiner	PPOSAT.Gen.Pl.Masc	mein
Freunde	NN.Gen.Pl.Masc	Freund
,	$,	,
er	PPER.3.Nom.Sg.Masc	er
hieß	VVFIN.3.Sg.Past.Ind	heißen
Waldrich	NE.Nom.Sg.Masc	Waldrich
,	$,	,
hatte	VAFIN.3.Sg.Past.Ind	haben
die	ART.Acc.Sg.Fem	der
hohe	ADJA.Pos.Acc.Sg.Fem	hoch
Schule	NN.Acc.Sg.Fem	Schule
kaum	ADV	kaum
seit	APPR	seit
zwei	CARD	zwei
Jahren	NN.Dat.Pl.Neut	Jahr
verlassen	VVPP.Psp	verlassen
und	KON	und
sich	PRF.3.Acc.Sg	sich
in	APPR	in
einer	ART.Dat.Sg.Fem	ein
Provinzialhauptstadt	NN.Dat.Sg.Fem	Provinzialhauptstadt
als	APPR	als
überzähliger	ADJA.Pos.Nom.Sg.Masc	überzähliger
und	KON	und
unbesoldeter	ADJA.Pos.Nom.Sg.Masc	unbesoldeter
Gerichtsassessor	NN.Nom.Sg.Masc	Gerichtsassessor
oder	KON	oder
dergleichen	ADV	dergleichen
herumgetrieben	VVPP.Psp	herumtreiben
,	$,	,
da	KOUS	da
eben	ADV	eben
in	APPR	in
die	ART.Acc.Sg.Fem	der
Posaune	NN.Acc.Sg.Fem	Posaune
des	ART.Gen.Sg.Masc	der
heiligen	ADJA.Pos.Gen.Sg.Masc	heilig
Krieges	NN.Gen.Sg.Masc	Krieg
gestoßen	VVPP.Psp	stoßen
ward	VAFIN.3.Sg.Past.Ind	werden
.	$.	.

