Jedem	PIAT.Dat.Sg.Masc	jeder
Reiſenden	NN.Dat.Sg.Masc	Rei<unk>end
,	$,	,
der	PRELS.Nom.Sg.Masc	der
bei	APPR	bei
guter	ADJA.Pos.Dat.Sg.Fem	guter
Tageszeit	NN.Dat.Sg.Fem	Tageszeit
ſich	PRF.3.Acc.Sg	sich
dem	ART.Dat.Sg.Neut	der
Staͤdtchen	NN.Dat.Sg.Neut	Sta<unk>dtchen
G.	NE.Nom.Sg.*	G.
von	APPR	von
der	ART.Dat.Sg.Fem	der
ſuͤdlichen	ADJA.Pos.Dat.Sg.Fem	<unk>
Seite	NN.Dat.Sg.Fem	Seite
bis	APPR	bis
auf	APPR	auf
eine	ART.Acc.Sg.Fem	ein
halbe	ADJA.Pos.Acc.Sg.Fem	halb
Stunde	NN.Acc.Sg.Fem	Stunde
Weges	NN.Gen.Sg.Masc	Weg
genaͤhert	VVFIN.3.Sg.Pres.Ind	gena<unk>hern
,	$,	,
faͤllt	VVFIN.3.Sg.Pres.Ind	fa<unk>llen
der	ART.Dat.Sg.Fem	der
Landſtraße	NE.Dat.Sg.Fem	Land<unk>traße
rechts	ADV	rechts
ein	ART.Acc.Sg.Neut	ein
ſtattliches	ADJA.Pos.Acc.Sg.Neut	<unk>
Landhaus	NN.Acc.Sg.Neut	Landhaus
in	APPR	in
die	ART.Acc.Pl.Neut	der
Augen	NN.Acc.Pl.Neut	Auge
,	$,	,
welches	PRELS.Nom.Sg.Neut	welcher
mit	APPR	mit
ſeinen	PPOSAT.Dat.Pl.Masc	<unk>
wunderlichen	ADJA.Pos.Dat.Pl.Masc	wunderlich
bunten	ADJA.Pos.Dat.Pl.Masc	bunt
Zinnen	NN.Dat.Pl.Masc	Zinne
aus	APPR	aus
finſterm	ADJA.Pos.Dat.Sg.Neut	fin<unk>term
Gebuͤſch	NN.Dat.Sg.Neut	Gebu<unk>ch
blickend	ADJD.Pos	blickend
,	$,	,
emporſteigt	VVFIN.3.Sg.Pres.Ind	empor<unk>teigen
.	$.	.

