Wenn	KOUS	wenn
ein	ART.Nom.Sg.Masc	ein
Seldwyler	NN.Nom.Sg.Masc	Seldwyler
einen	ART.Acc.Sg.Masc	ein
ſchlechten	ADJA.Pos.Acc.Sg.Masc	<unk>
Handel	NN.Acc.Sg.Masc	Handel
gemacht	VVPP.Psp	machen
hat	VAFIN.3.Sg.Pres.Ind	haben
oder	KON	oder
angeführt	VVPP.Psp	anführen
worden	VAPP.Psp	werden
iſt	VAFIN.3.Sg.Pres.Ind	sein
,	$,	,
ſo	ADV	<unk>
ſagt	VVFIN.3.Sg.Pres.Ind	<unk>
man	PIS.Nom.Sg.*	man
zu	APPR	zu
Seldwyla	NE.Dat.Sg.Neut	Seldwyla
:	$.	:
Er	PPER.3.Nom.Sg.Masc	er
hat	VAFIN.3.Sg.Pres.Ind	haben
der	ART.Dat.Sg.Fem	der
Katze	NN.Dat.Sg.Fem	Katze
den	ART.Acc.Sg.Masc	der
Schmeer	NN.Acc.Sg.Masc	Schmeer
abgekauft	VVPP.Psp	abkaufen
!	$.	!

