Am	APPRART.Dat.Sg.Masc	an
oberen	ADJA.Pos.Dat.Sg.Masc	oberer
Schlusse	NN.Dat.Sg.Masc	Schluß
des	ART.Gen.Sg.Neut	der
schönen	ADJA.Pos.Gen.Sg.Neut	schönen
Ahrthales	NN.Gen.Sg.Neut	Ahrthal
,	$,	,
wo	PWAV	wo
das	ART.Nom.Sg.Neut	der
Flüßchen	NN.Nom.Sg.Neut	Flüßchen
dem	ART.Dat.Sg.Masc	der
Fuße	NN.Dat.Sg.Masc	Fuß
eines	ART.Gen.Sg.Masc	ein
stark	ADJD.Pos	stark
ansteigenden	ADJA.Pos.Gen.Sg.Masc	ansteigend
Berges	NN.Gen.Sg.Masc	Berg
entspringt	VVFIN.3.Sg.Pres.Ind	entspringen
,	$,	,
liegt	VVFIN.3.Sg.Pres.Ind	liegen
in	APPR	in
die	ART.Acc.Sg.Fem	der
grüne	ADJA.Pos.Acc.Sg.Fem	grün
Schlucht	NN.Acc.Sg.Fem	Schlucht
zurückgezogen	VVPP.Psp	zurückziehen
das	ART.Nom.Sg.Neut	der
Städtchen	NN.Nom.Sg.Neut	Städtchen
Blankenheim	NN.Nom.Sg.Neut	Blankenheim
,	$,	,
ein	ART.Nom.Sg.Masc	ein
Schutz	NN.Nom.Sg.Masc	Schutz
und	KON	und
Schirm	NN.Nom.Sg.Masc	Schirm
der	ART.Gen.Sg.Fem	der
jetzt	ADV	jetzt
zertrümmerten	ADJA.Pos.Gen.Sg.Fem	zertrümmert
Grasenburg	NN.Gen.Sg.Fem	Grasenburg
,	$,	,
der	PRELS.Nom.Sg.Masc	der
es	PPER.3.Acc.Sg.Neut	es
seinen	PPOSAT.Acc.Sg.Masc	sein
Ursprung	NN.Acc.Sg.Masc	Ursprung
dankt	VVFIN.3.Sg.Pres.Ind	danken
.	$.	.

