Es	PPER.3.Nom.Sg.Neut	es
giebt	VVFIN.3.Sg.Pres.Ind	gieben
Begegnisse	NN.Acc.Pl.Neut	Begegnis
in	APPR	in
der	ART.Dat.Sg.Fem	der
Welt	NN.Dat.Sg.Fem	Welt
,	$,	,
die	PRELS.Nom.Sg.Fem	der
,	$,	,
obgleich	KOUS	obgleich
ins	APPRART.Acc.Sg.Neut	in
Innere	NN.Acc.Sg.Neut	Innere
der	ART.Gen.Pl.Masc	der
Menschen	NN.Gen.Pl.Masc	Mensch
tief	ADJD.Pos	tief
eingreifend	ADJD.Pos	eingreifend
,	$,	,
doch	KON	doch
in	APPR	in
ihrer	PPOSAT.Dat.Sg.Fem	ihr
äußeren	ADJA.Pos.Dat.Sg.Fem	äußerer
Erscheinung	NN.Dat.Sg.Fem	Erscheinung
,	$,	,
so	ADV	so
wie	KOKOM	wie
manche	PIAT.Acc.Sg.Fem	mancher
schöne	ADJA.Pos.Acc.Sg.Fem	schön
oder	KON	oder
schlechte	ADJA.Pos.Acc.Sg.Fem	schlecht
That	NN.Acc.Sg.Fem	That
,	$,	,
nur	ADV	nur
eine	ART.Acc.Sg.Fem	ein
so	ADV	so
flüchtige	ADJA.Pos.Acc.Sg.Fem	flüchtig
Aufmerksamkeit	NN.Acc.Sg.Fem	Aufmerksamkeit
erregen	VVFIN.3.Pl.Pres.Ind	erregen
,	$,	,
daß	KOUS	daß
sie	PPER.3.Nom.Pl.Masc	sie
kaum	ADV	kaum
bemerkt	ADJD.Pos	bemerkt
in	APPR	in
den	ART.Dat.Pl.Fem	der
Wellen	NN.Dat.Pl.Fem	Welle
der	ART.Gen.Sg.Fem	der
Zeit	NN.Gen.Sg.Fem	Zeit
untergehen	VVFIN.3.Pl.Pres.Ind	untergehen
,	$,	,
wie	PWAV	wie
erschütternd	ADJD.Pos	erschütternd
sie	PPER.3.Nom.Pl.Fem	sie
auch	ADV	auch
dem	ART.Dat.Sg.Masc	der
scharfen	ADJA.Pos.Dat.Sg.Masc	scharf
,	$,	,
aber	KON	aber
schweigenden	ADJA.Pos.Dat.Sg.Masc	schweigend
Beobachter	NN.Dat.Sg.Masc	Beobachter
sich	PRF.3.Acc.Pl	sich
darstellen	VVFIN.3.Pl.Pres.Ind	darstellen
;	$.	;
unter	APPR	unter
solche	PIAT.Acc.Sg.Fem	solcher
gehört	VVFIN.3.Sg.Pres.Ind	gehören
folgende	ADJA.Pos.Acc.Sg.Fem	folgend
Begebenheit	NN.Acc.Sg.Fem	Begebenheit
.	$.	.

