Wer	PWS.Nom.Sg.Masc	wer
hätte	VAFIN.3.Sg.Past.Subj	haben
in	APPR	in
dem	ART.Dat.Sg.Masc	der
phantastischen	ADJA.Pos.Dat.Sg.Masc	phantastisch
Wandrer	NN.Dat.Sg.Masc	Wandrer
,	$,	,
der	PRELS.Nom.Sg.Masc	der
beim	APPRART.Dat.Sg.Masc	bei
frühsten	ADJA.Sup.Dat.Sg.Masc	früh
Morgen	NN.Dat.Sg.Masc	Morgen
einsam	ADJD.Pos	einsam
und	KON	und
irr	PPER.3.Dat.Sg.Fem	irr
über	APPR	über
die	ART.Acc.Pl.Masc	der
Hügel	NN.Acc.Pl.Masc	Hügel
des	ART.Gen.Sg.Neut	der
alten	ADJA.Pos.Gen.Sg.Neut	alte
Macedonerlandes	NN.Gen.Sg.Neut	Macedonerland
hinstürmte	VVFIN.3.Sg.Past.Ind	hinstürmen
,	$,	,
den	ART.Acc.Sg.Masc	der
ehrenwerthen	ADJA.Pos.Acc.Sg.Masc	ehrenwerther
brittischen	ADJA.Pos.Acc.Sg.Masc	brittisch
Maler	NN.Acc.Sg.Masc	Maler
James	NE.Nom.Sg.Masc	James
Stuart	NE.Nom.Sg.Masc	Stuart
erkennen	VVINF.Inf	erkennen
mögen	VMINF.Inf	mögen
!	$.	!

