Als	KOUS	als
das	ART.Nom.Sg.Neut	der
heilige	ADJA.Pos.Nom.Sg.Neut	heiliger
römische	ADJA.Pos.Nom.Sg.Neut	römisch
Reich	NN.Nom.Sg.Neut	Reich
noch	ADV	noch
aufrecht	ADJD.Pos	aufrecht
stand	VVFIN.3.Sg.Past.Ind	stehen
,	$,	,
zu	APPR	zu
Anfang	NN.Dat.Sg.Masc	Anfang
des	ART.Gen.Sg.Neut	der
vorigen	ADJA.Pos.Gen.Sg.Neut	vorigen
Jahrhunderts	NN.Gen.Sg.Neut	Jahrhundert
,	$,	,
waren	VAFIN.3.Pl.Past.Ind	sein
,	$,	,
wie	PWAV	wie
der	ART.Nom.Sg.Masc	der
geschichtskundige	ADJA.Pos.Nom.Sg.Masc	geschichtskundige
großgünstige	ADJA.Pos.Nom.Sg.Masc	großgünstig
Leser	NN.Nom.Sg.Masc	Leser
weiß	VVFIN.3.Sg.Pres.Ind	wissen
,	$,	,
im	APPRART.Dat.Sg.Masc	in
Südwesten	NN.Dat.Sg.Masc	Südwesten
des	ART.Gen.Sg.Neut	der
armen	ADJA.Pos.Gen.Sg.Neut	armen
,	$,	,
blutenden	ADJA.Pos.Gen.Sg.Neut	blutender
,	$,	,
knochenkranken	ADJA.Pos.Gen.Sg.Neut	knochenkranken
Deutschlands	NE.Gen.Sg.Neut	Deutschland
die	ART.Nom.Pl.Fem	der
freien	ADJA.Pos.Nom.Pl.Fem	frei
Städte	NN.Nom.Pl.Fem	Stadt
so	ADV	so
häufig	ADJD.Pos	häufig
wie	KOKOM	wie
die	ART.Nom.Sg.Fem	der
Pilze	NN.Nom.Sg.Fem	Pilze
,	$,	,
und	KON	und
die	ART.Nom.Sg.Fem	der
unmittelbare	ADJA.Pos.Nom.Sg.Fem	unmittelbare
Reichsritterschaft	NN.Nom.Sg.Fem	Reichsritterschaft
war	VAFIN.3.Sg.Past.Ind	sein
noch	ADV	noch
häufiger	ADJD.Comp	häufig
.	$.	.

