Die	ART.Nom.Pl.Fem	der
folgenden	ADJA.Pos.Nom.Pl.Fem	folgend
Mittheilungen	NN.Nom.Pl.Fem	Mittheilung
rühren	VVFIN.3.Pl.Pres.Ind	rühren
von	APPR	von
einem	ART.Dat.Sg.Masc	ein
Poeten	NN.Dat.Sg.Masc	Poet
her	PTKVZ	her
,	$,	,
welcher	PWS.Nom.Sg.Masc	welcher
ſeinerzeit	ADV	<unk>eit
Einiges	PIS.Acc.Sg.Neut	einige
von	APPR	von
ſich	PRF.3.Dat.Sg	sich
reden	VVFIN.3.Pl.Pres.Ind	reden
gemacht	VVPP.Psp	machen
,	$,	,
nunmehr	ADV	nunmehr
aber	ADV	aber
,	$,	,
wie	PWAV	wie
ſo	ADV	<unk>
mancher	PIAT.Nom.Sg.Masc	mancher
Andere	NN.Nom.Sg.Masc	Andere
,	$,	,
verſchollen	VVPP.Psp	ver<unk>chellen
und	KON	und
vergeſſen	VVPP.Psp	verge<unk>en
iſt	VAFIN.3.Sg.Pres.Ind	sein
.	$.	.

