Eine	PIS.Nom.Sg.Fem	einer
der	ART.Gen.Pl.Masc	der
merkwürdigſten	ADJA.Pos.Gen.Pl.Masc	merkwürdig<unk>t
Eiſenbahnbauten	NN.Gen.Pl.Masc	Ei<unk>enbahnbau
iſt	VAFIN.3.Sg.Pres.Ind	sein
der	ART.Nom.Sg.Masc	der
Schienenweg	NN.Nom.Sg.Masc	Schienenweg
über	APPR	über
den	ART.Acc.Sg.Masc	der
Semmering	NN.Acc.Sg.Masc	Semmering
,	$,	,
einen	ART.Acc.Sg.Masc	ein
Theil	NN.Acc.Sg.Masc	Theil
der	ART.Gen.Pl.*	der
noriſchen	ADJA.Pos.Gen.Pl.Fem	nori<unk>ch
Alpen	NN.Gen.Pl.*	Alpen
,	$,	,
welcher	PWS.Nom.Sg.Masc	welcher
die	ART.Acc.Sg.Fem	der
Grenzſcheide	NN.Acc.Sg.Fem	Grenz<unk>cheide
zwiſchen	APPR	zwi<unk>chen
dem	ART.Dat.Sg.Neut	der
Erzherzogthum	NN.Dat.Sg.Neut	Erzherzogthum
Oeſterreich	NE.Nom.Sg.Neut	Oe<unk>terreich
und	KON	und
der	ART.Dat.Sg.Fem	der
grünen	ADJA.Pos.Dat.Sg.Fem	grün
Steiermark	NN.Dat.Sg.Fem	Steiermark
bildet	VVFIN.3.Sg.Pres.Ind	bilden
.	$.	.

