Wenn	KOUS	wenn
mich	PPER.1.Acc.Sg.*	mich
meine	PPOSAT.Nom.Sg.Fem	mein
Mutter	NN.Nom.Sg.Fem	Mutter
nicht	PTKNEG	nicht
gewoͤhnt	VVPP.Psp	wo<unk>hnen
haͤtte	VAFIN.3.Sg.Past.Ind	haben
,	$,	,
mein	PPOSAT.Acc.Sg.Neut	mein
theures	ADJA.Pos.Acc.Sg.Neut	theures
Jch	NN.Acc.Sg.Neut	Jch
fuͤr	VVFIN.3.Sg.Past.Ind	farren
ein	ART.Acc.Sg.Neut	ein
aͤußerſt	ADJD.Pos	a<unk>ußer<unk>t
viel	PIAT.*.*.*	viel
bedeutendes	ADJA.Pos.Acc.Sg.Neut	bedeutend
Weſen	NN.Acc.Sg.Neut	We<unk>en
zu	PTKZU	zu
halten	VVINF.Inf	halten
,	$,	,
welches	PRELS.Nom.Sg.Neut	welcher
,	$,	,
wie	PWAV	wie
es	PPER.3.Acc.Sg.Neut	es
ſich	PPER.1.Acc.Sg.*	<unk>
auch	ADV	auch
betragen	VVFIN.3.Pl.Pres.Ind	betragen
,	$,	,
oder	KON	oder
was	PWS.Acc.Sg.Neut	was
es	PPER.3.Acc.Sg.Neut	es
ſich	PRF.3.Acc.Sg	sich
durch	APPR	durch
boͤſe	ADJA.Pos.Acc.Pl.Masc	bo<unk>
oder	KON	oder
dumme	ADJA.Pos.Acc.Pl.Masc	dumm
Streiche	NN.Acc.Pl.Masc	Streich
zuziehen	VVINF.Inf	zuziehen
moͤchte	VVFIN.3.Sg.Past.Ind	mo<unk>chen
,	$,	,
dennoch	ADV	dennoch
ſehr	ADV	<unk>
in	APPR	in
Ehren	NN.Dat.Pl.Fem	Ehre
zu	PTKZU	zu
halten	VVINF.Inf	halten
waͤre	VVFIN.1.Sg.Past.Ind	wassen
;	$.	;
ſo	ADV	<unk>
wuͤrde	VAFIN.1.Sg.Past.Ind	wuerden
ich	PPER.1.Nom.Sg.*	ich
mich	PRF.1.Acc.Sg	sich
ſchwerlich	ADJD.Pos	<unk>
entſchloſſen	VVPP.Psp	ent<unk>chlo<unk>en
haben	VAINF.Inf	haben
,	$,	,
mein	PPOSAT.Acc.Sg.Neut	mein
Leben	NN.Acc.Sg.Neut	Leben
und	KON	und
meine	PPOSAT.Acc.Pl.Fem	mein
Thaten	NN.Acc.Pl.Fem	That
zur	APPRART.Dat.Sg.Fem	zu
Wiſſenſchaft	NN.Dat.Sg.Fem	Wi<unk><unk>en<unk>chaft
des	ART.Gen.Sg.Neut	der
reſpektabeln	ADJA.Pos.Gen.Sg.Neut	re<unk>pektabeln
Publikums	NN.Gen.Sg.Neut	Publikum
zu	PTKZU	zu
bringen	VVINF.Inf	bringen
.	$.	.

