Im	APPRART.Dat.Sg.Masc	in
Norden	NN.Dat.Sg.Masc	Norden
der	ART.Gen.Sg.Fem	der
Grafſchaft	NN.Gen.Sg.Fem	Graf<unk>chaft
Ruppin	NE.Nom.Sg.*	Ruppin
,	$,	,
hart	ADJD.Pos	hart
an	APPR	an
der	ART.Dat.Sg.Fem	der
mecklenburgiſchen	ADJA.Pos.Dat.Sg.Fem	mecklenburgi<unk>ch
Grenze	NN.Dat.Sg.Fem	Grenze
,	$,	,
zieht	VVFIN.3.Sg.Pres.Ind	ziehen
ſich	PRF.3.Acc.Sg	sich
von	APPR	von
dem	ART.Dat.Sg.Neut	der
Städtchen	NN.Dat.Sg.Neut	Städtchen
Granſee	NE.Nom.Sg.*	Gran<unk>ee
bis	APPR	bis
nach	APPR	nach
Rheinsberg	NE.Dat.Sg.Neut	Rheinsberg
hin	ADV	hin
(	$(	(
und	KON	und
noch	ADV	noch
darüber	PROAV	darüber
hinaus	APZR	hinaus
)	$(	)
eine	ART.Nom.Sg.Fem	ein
mehrere	PIAT.Acc.Pl.Fem	mehrere
Meilen	NN.Acc.Pl.Fem	Meile
lange	ADJA.Pos.Nom.Sg.Fem	lang
Seeenkette	NN.Nom.Sg.Fem	Seeenkette
durch	APPR	durch
eine	ART.Acc.Sg.Fem	ein
menſchenarme	ADJA.Pos.Acc.Sg.Fem	men<unk>chenarm
,	$,	,
nur	ADV	nur
hie	ADV	hie
und	KON	und
da	ADV	da
mit	APPR	mit
ein	ART.*.*.*	ein
paar	PIAT.*.*.*	paar
alten	ADJA.Pos.Dat.Pl.Neut	alt
Dörfern	NN.Dat.Pl.Neut	Dorf
,	$,	,
ſonſt	ADV	<unk>
aber	ADV	aber
ausſchließlich	ADV	aus<unk>chließlich
mit	APPR	mit
Förſtereien	NN.Dat.Pl.Fem	För<unk>terei
,	$,	,
Glas-	TRUNC.Dat.Pl.Masc	Glas
und	KON	und
Teeröfen	NN.Dat.Pl.Masc	Teerof
beſetzte	ADJA.Pos.Acc.Sg.Fem	be<unk>etzt
Waldung	NN.Acc.Sg.Fem	Waldung
.	$.	.

