Um	KOUI	um
die	ART.Acc.Sg.Fem	der
Zeit	NN.Acc.Sg.Fem	Zeit
der	ART.Gen.Sg.Fem	der
großen	ADJA.Pos.Gen.Sg.Fem	groß
Französischen	ADJA.Pos.Gen.Sg.Fem	französisch
Revolution	NN.Gen.Sg.Fem	Revolution
sah	VVFIN.3.Sg.Past.Ind	sehen
man	PIS.Nom.Sg.*	man
,	$,	,
noch	ADV	noch
mehrere	PIAT.Acc.Pl.Neut	mehrere
Jahre	NN.Acc.Pl.Neut	Jahr
hindurch	PROAV	hindurch
,	$,	,
an	APPR	an
den	ART.Dat.Pl.Neut	der
Ufern	NN.Dat.Pl.Neut	Ufer
der	ART.Gen.Sg.Fem	der
Rhone	NN.Gen.Sg.Fem	Rhone
,	$,	,
im	APPRART.Dat.Sg.Masc	in
südlichen	ADJA.Pos.Dat.Sg.Masc	südlich
Burgund	NN.Dat.Sg.Masc	Burgund
,	$,	,
ein	ART.Acc.Sg.Neut	ein
höchst	ADV	höchst
prachtvolles	ADJA.Pos.Acc.Sg.Neut	prachtvolles
,	$,	,
alterthümliches	ADJA.Pos.Acc.Sg.Neut	alterthümliches
,	$,	,
Schloß	NN.Acc.Sg.Neut	Schloß
sein	PPOSAT.Acc.Sg.Neut	sein
unerschüttertes	ADJA.Pos.Acc.Sg.Neut	unerschütterter
Dasein	NN.Acc.Sg.Neut	Dasein
behaupten	VVINF.Inf	behaupten
,	$,	,
während	KOUS	während
unscheinbare	ADJA.Pos.Nom.Pl.Fem	unscheinbar
Besitzungen	NN.Nom.Pl.Fem	Besitzung
längst	ADV	längst
der	ART.Dat.Sg.Fem	der
freigegebenen	ADJA.Pos.Dat.Sg.Fem	freigegeben
Willkühr	NN.Dat.Sg.Fem	Willkühr
weichen	VVINF.Inf	weichen
mußten	VMFIN.3.Pl.Past.Ind	müssen
.	$.	.

