Was	PWS.Acc.Sg.Neut	was
ich	PPER.1.Nom.Sg.*	ich
von	APPR	von
der	ART.Dat.Sg.Fem	der
Geſchichte	NN.Dat.Sg.Fem	Ge<unk>chichte
des	ART.Gen.Sg.Masc	der
armen	ADJA.Pos.Gen.Sg.Masc	arm
Werthers	NN.Gen.Sg.Masc	Werther
nur	ADV	nur
habe	VAFIN.1.Sg.Pres.Ind	haben
auffinden	VVINF.Inf	auffinden
koͤnnen	VVINF.Inf	ko<unk>nnen
,	$,	,
habe	VAFIN.1.Sg.Pres.Ind	haben
ich	PPER.1.Nom.Sg.*	ich
mit	APPR	mit
Fleiß	NN.Dat.Sg.Masc	Fleiß
geſammlet	VVPP.Psp	<unk>len
,	$,	,
und	KON	und
leg	VVFIN.1.Sg.Past.Ind	liegen
es	PPER.3.Acc.Sg.Neut	es
euch	PPER.2.Dat.Pl.*	euch
hier	ADV	hier
vor	PTKVZ	vor
,	$,	,
und	KON	und
weis	ADJD.Pos	weis
,	$,	,
daß	KOUS	daß
ihr	PPER.3.Dat.Sg.Fem	ihr
mir’s	PIS.*.*.Neut	mir<unk>
danken	VVINF.Inf	danken
werdet	VAFIN.2.Pl.Pres.Ind	werden
.	$.	.

