Wenn	KOUS	wenn
ich	PPER.1.Nom.Sg.*	ich
von	APPR	von
meiner	PPOSAT.Dat.Sg.Fem	mein
Freundin	NN.Dat.Sg.Fem	Freundin
schriftliche	ADJA.Pos.Acc.Pl.Masc	schriftlich
Ergüsse	NN.Acc.Pl.Masc	Erguß
ihrer	PPOSAT.Gen.Sg.Fem	ihr
Liebe	NN.Gen.Sg.Fem	Liebe
erhalte	VVFIN.1.Sg.Pres.Ind	erhalten
,	$,	,
so	ADV	so
sollte	VMFIN.3.Sg.Past.Ind	sollen
sie	PPER.3.Nom.Sg.Fem	sie
billig	ADJD.Pos	billig
selbst	ADV	selbst
nicht	PTKNEG	nicht
ausbleiben	VVINF.Inf	ausbleiben
,	$,	,
um	KOUI	um
Zeuge	NN.Nom.Sg.Masc	Zeuge
der	ART.Gen.Sg.Fem	der
Aufnahme	NN.Gen.Sg.Fem	Aufnahme
zu	PTKZU	zu
sein	VAINF.Inf	sein
,	$,	,
die	PRELS.Acc.Sg.Fem	der
ich	PPER.1.Nom.Sg.*	ich
ihnen	PPER.3.Dat.Pl.*	ihnen
angedeihen	VVINF.Inf	angedeihen
lasse	VVFIN.1.Sg.Pres.Ind	lassen
.	$.	.

