Wir	PPER.1.Nom.Pl.*	wir
fuhren	VVFIN.1.Pl.Past.Ind	fahren
an	APPR	an
einem	ART.Dat.Sg.Neut	ein
Tuͤrkiſchen	ADJA.Pos.Dat.Sg.Neut	tu<unk>rki<unk>chen
Schiffe	NN.Acc.Pl.Neut	Schiff
vorbey	PTKVZ	vorbey
,	$,	,
ſie	PRELS.Nom.Pl.Neut	ein
brannten	VVFIN.3.Pl.Past.Ind	brennen
ihre	PPOSAT.Acc.Pl.Masc	ihr
Kanonen	NN.Acc.Pl.Masc	Kanone
los	PTKVZ	los
:	$.	:
die	ART.Acc.Pl.Masc	der
Gondel	NE.Nom.Sg.*	Gondel
wankte	VVFIN.1.Sg.Past.Ind	wanken
,	$,	,
worin	PWAV	worin
ich	PPER.1.Nom.Sg.*	ich
aufgerichtet	VVPP.Psp	aufrichten
ſtand	VVFIN.1.Sg.Past.Ind	<unk>
;	$.	;
ich	PPER.1.Nom.Sg.*	ich
verlor	VVFIN.1.Sg.Past.Ind	verlieren
das	ART.Acc.Sg.Neut	der
Gleichgewicht	NN.Acc.Sg.Neut	Gleichgewicht
,	$,	,
und	KON	und
ſtuͤrzte	VVFIN.1.Sg.Past.Ind	<unk>
in	APPR	in
die	ART.Acc.Sg.Fem	der
See	NN.Acc.Sg.Fem	See
,	$,	,
verwickelte	VVFIN.1.Sg.Past.Ind	verwickeln
mich	PPER.1.Acc.Sg.*	mich
in	APPR	in
meinen	PPOSAT.Acc.Sg.Masc	mein
Mantel	NN.Acc.Sg.Masc	Mantel
,	$,	,
arbeitete	VVFIN.3.Sg.Past.Ind	arbeiten
vergebens	ADV	vergebens
,	$,	,
und	KON	und
ſank	ADJD.Pos	<unk>
unter	PTKVZ	unter
.	$.	.

