Ja	PTKANT	ja
,	$,	,
mein	PPOSAT.Nom.Sg.Masc	mein
Freund	NN.Nom.Sg.Masc	Freund
,	$,	,
noch	ADV	noch
alle	PIAT.Acc.Pl.Masc	aller
Tage	NN.Acc.Pl.Masc	Tag
wird	VAFIN.3.Sg.Pres.Ind	werden
es	PPER.3.Nom.Sg.Neut	es
oͤder	KON	o<unk>der
um	APPR	um
mich	PPER.1.Acc.Sg.*	mich
her	ADV	her
;	$.	;
und	KON	und
ſo	ADV	<unk>
ſetzt	VVFIN.3.Sg.Pres.Ind	<unk>
ſich	PRF.3.Acc.Sg	sich
denn	ADV	denn
die	ART.Nom.Sg.Fem	der
ſonderbare	ADJA.Pos.Nom.Sg.Fem	<unk>
Gemuͤthsſtimmung	NN.Nom.Sg.Fem	Gemu<unk>ths<unk>timmung
,	$,	,
die	PRELS.Acc.Sg.Fem	der
Du	PPER.2.Nom.Sg.*	du
an	APPR	an
mir	PPER.1.Dat.Sg.*	mir
tadelſt	ADJD.Pos	tadel<unk>t
,	$,	,
und	KON	und
wofuͤr	ADV	wofu<unk>r
Du	PPER.2.Nom.Sg.*	du
keinen	PIAT.Acc.Sg.Masc	kein
Namen	NN.Acc.Sg.Masc	Name
weißt	VVFIN.3.Sg.Pres.Ind	weißen
,	$,	,
immer	ADV	immer
feſter	ADJD.Comp	fe<unk>t
.	$.	.

