Lange	ADV	lange
hatte	VAFIN.3.Sg.Past.Ind	haben
ſich	PRF.3.Dat.Sg	sich
Fauſt	NN.Nom.Sg.Fem	Fau<unk>t
,	$,	,
mit	APPR	mit
den	ART.Dat.Pl.Fem	der
Seifenblaſen	NN.Dat.Pl.Fem	Seifenbla<unk>e
der	ART.Gen.Sg.Fem	der
Metaphyſik	NN.Gen.Sg.Fem	Metaphy<unk>ik
,	$,	,
den	ART.Dat.Pl.Fem	der
Irrwiſchen	NN.Dat.Pl.Fem	Irrwi<unk>che
der	ART.Gen.Sg.Fem	der
Moral	NN.Gen.Sg.Fem	Moral
,	$,	,
und	KON	und
den	ART.Acc.Sg.Masc	der
Schatten	NN.Acc.Sg.Masc	Schatten
der	ART.Gen.Sg.Fem	der
Theologie	NN.Gen.Sg.Fem	Theologie
herumgeſchlagen	VVPP.Psp	herum<unk>chlagen
,	$,	,
ohne	KOUI	ohne
eine	ART.Acc.Sg.Fem	ein
feſte	ADJA.Pos.Acc.Sg.Fem	fe<unk>te
,	$,	,
haltbare	ADJA.Pos.Acc.Sg.Fem	haltbar
Geſtalt	NN.Acc.Sg.Fem	Ge<unk>talt
,	$,	,
fuͤr	ADJD.Pos	fu<unk>r
ſeinen	PPOSAT.Acc.Sg.Masc	<unk>
Sinn	NN.Acc.Sg.Masc	Sinn
herauszukaͤmpfen	VVIZU.Infzu	herauska<unk>mpfen
.	$.	.

