Dicht	ADJD.Pos	dicht
am	APPRART.Dat.Sg.Neut	an
Odfelde	NN.Dat.Sg.Neut	Odfeld
,	$,	,
in	APPR	in
der	ART.Dat.Sg.Fem	der
angenehmſten	ADJA.Pos.Dat.Sg.Fem	angenehm<unk>t
Mitte	NN.Dat.Sg.Fem	Mitte
des	ART.Gen.Sg.Neut	der
Tilithioder	NN.Gen.Sg.Neut	Tilithioder
auch	ADV	auch
Wikanafeldiſtan-Gaus	NN.Nom.Sg.Neut	Wikanafeldi<unk>tan-Gaus
,	$,	,
liegt	VVFIN.3.Sg.Pres.Ind	liegen
auf	APPR	auf
dem	ART.Dat.Sg.Masc	der
Auerberge	NN.Dat.Sg.Masc	Auerberg
über	APPR	über
dem	ART.Dat.Sg.Neut	der
romantiſchen	ADJA.Pos.Dat.Sg.Neut	romanti<unk>chen
,	$,	,
vom	APPRART.Dat.Sg.Neut	von
luſtigen	ADJA.Pos.Dat.Sg.Neut	lu<unk>tigen
Forſtbach	NN.Dat.Sg.Neut	For<unk>tbach
durchrauſchten	ADJA.Pos.Dat.Sg.Neut	durchrau<unk>chten
,	$,	,
heute	ADV	heute
freilich	ADV	freilich
arg	ADV	arg
durch	APPR	durch
Steinbrecherfäuſte	NN.Acc.Pl.Neut	Steinbrecherfäu<unk>t
verwüſteten	ADJA.Pos.Dat.Sg.Neut	verwü<unk>tet
Hoopthal	NN.Dat.Sg.Neut	Hoopthal
das	ART.Acc.Sg.Neut	der
uralte	ADJA.Pos.Acc.Sg.Neut	uralt
Kloſter	ADJA.Pos.*.*.*	Klo<unk>ter
Amelungsborn	NN.Nom.Sg.Neut	Amelungsborn
.	$.	.

