Es	PPER.3.Nom.Sg.Neut	es
liegt	VVFIN.3.Sg.Pres.Ind	liegen
mir	PPER.1.Dat.Sg.*	mir
daran	PROAV	daran
,	$,	,
gleich	ADV	gleich
in	APPR	in
den	ART.Dat.Pl.Fem	der
erſten	ADJA.Pos.Dat.Pl.Fem	er<unk>t
Zeilen	NN.Dat.Pl.Fem	Zeile
dieſer	PDAT.Gen.Sg.Fem	die<unk>er
Niederſchrift	NN.Acc.Sg.Fem	Nieder<unk>chrift
zu	PTKZU	zu
beweiſen	VVINF.Inf	bewei<unk>en
oder	KON	oder
darzuthun	VVIZU.Infzu	darthun
,	$,	,
daß	KOUS	daß
ich	PPER.1.Nom.Sg.*	ich
noch	ADV	noch
zu	APPR	zu
den	ART.Dat.Pl.*	der
Gebildeten	NN.Dat.Pl.*	Gebildete
mich	PPER.1.Acc.Sg.*	mich
zählen	VVINF.Inf	zählen
darf	VMFIN.1.Sg.Pres.Ind	dürfen
.	$.	.

