Du	PPER.2.Nom.Sg.*	du
foderſt	VVFIN.2.Sg.Pres.Ind	fodern
mich	PPER.1.Acc.Sg.*	mich
auf	PTKVZ	auf
,	$,	,
liebe	VVFIN.1.Sg.Pres.Ind	lieben
Emma	NE.Nom.Sg.Fem	Emma
,	$,	,
Deine	PPOSAT.Nom.Sg.Fem	dein
Wegweiſerin	NN.Nom.Sg.Fem	Wegwei<unk>erin
zu	PTKZU	zu
werden	VAINF.Inf	werden
in	APPR	in
dem	ART.Dat.Sg.Masc	der
ſchönen	ADJA.Pos.Dat.Sg.Masc	<unk>
Beruf	NN.Dat.Sg.Masc	Beruf
,	$,	,
den	PRELS.Acc.Sg.Masc	der
unſer	ADV	un<unk>er
aller	PIAT.Dat.Sg.Fem	aller
Mutter	NN.Dat.Sg.Fem	Mutter
Dir	PPER.2.Dat.Sg.*	dir
kürzlich	ADV	kürzlich
auferlegt	VVPP.Psp	auferlegen
,	$,	,
und	KON	und
wodurch	PWAV	wodurch
ſie	PPER.3.Nom.Sg.Fem	<unk>
Dich	PPER.2.Acc.Sg.*	dich
ſo	ADV	<unk>
hoch	ADJD.Pos	hoch
geehrt	VVPP.Psp	ehren
hat	VAFIN.3.Sg.Pres.Ind	haben
,	$,	,
als	KOKOM	als
ſie	PPER.3.Nom.Sg.Fem	<unk>
ein	ART.Acc.Sg.Neut	ein
menſchliches	ADJA.Pos.Acc.Sg.Neut	men<unk>chliche
Weſen	NN.Acc.Sg.Neut	We<unk>en
ehren	VVINF.Inf	ehren
kann	VMFIN.3.Sg.Pres.Ind	können
.	$.	.

