id	length	tokens	group	pubYear	title	author	source	lat	lon	incipit	
1	343	49	Roman	1615	Der Landtstörtzer	Aegidius Albertinus	https://www.deutschestextarchiv.de/book/view/albertinus_landtstoertzer01_1615?p=0023			OHne zweiffel wirdt man mirs fuͤr vbel haben/ daß ich wider das vierdte Gebott GOTtes handle/ vnnd in Beſchreibung meiner ſchaͤndtlichen Geburt/ die Laſter vnd Schand meiner Eltern entdecke/ dann jederzeit ſeindt die calumnianten vnnd Ehrenſchaͤnder veracht vnnd verhaßt worden/ zumaln die jenigen/ welche jhrer eygnen Eltern nicht verſchonen:
2	41	6	Roman	1852	Ruhe ist die erste Bürgerpflicht oder Vor fünfzig Jahren	Willibald Alexis	https://www.deutschestextarchiv.de/book/view/alexis_ruhe01_1852?p=0015			„Und darum eben,“ ſchloß der Geheimerath.
3	415	62	Roman	1854	Der Dunkelgraf	Ludwig Bechstein	https://www.deutschestextarchiv.de/book/view/bechstein_dunkelgraf_1854?p=0007	53.33295	8.18814	Geheimnißvoll murmeln die Wellen und schlagen nur leise an die Ufer des friedlichen Busens, in welchen das Flüßchen Jahde, vorüber rinnend an den einzelnen Häusern des friesischen Dorfes gleichen Namens und der Jahdekirche, sich geräuschlos einsenkt, um dann als breite Stromfläche aus dem zur Fluthzeit fast gerundet erscheinenden Becken mit dem Weserausstrome sich zu vereinen und in die Nordsee sich zu ergießen.
4	247	36	Roman	1682	Der verliebte Europäer, Oder Warhafftige Liebes-Roman	Johann Beer	https://www.deutschestextarchiv.de/book/view/beer_europa_1682?p=0023	37.62304	13.93457	DOn Lomeno, Vice-Ree in Sicilien/ hatte mit ſeiner Liebſten in waͤrendem Eheſtande nur einen einigen Sohn mit Nahmen Alexander gezeuget/ welcher/ nachdem er zu ſeinen maͤnnlichen Jahren kommen/ ein trefflich tapffer Gemuͤthe von ſich ſpuͤren ließ.
5	104	18	Roman	1897	Stilpe	Otto Julius Bierbaum	https://www.deutschestextarchiv.de/book/view/bierbaum_stilpe_1897?p=0017			Als mein Freund Stilpe geboren worden war, herrſchte, wie das ſo üblich iſt, viel Freude in der Familie.
6	82	13	Roman	1779	Robinson der Jüngere	Joachim Heinrich Campe	https://www.deutschestextarchiv.de/book/view/campe_robinson01_1779?p=0039			Es war einmahl eine zahlreiche Familie, die aus kleinen und großen Leuten beſtand.
7	122	17	Roman	1827	Liebe und Irrthum	Heinrich Clauren	https://www.deutschestextarchiv.de/book/view/clauren_liebe_1827?p=0009			Blauenſtein war im Begriff von einer langen Reiſe in die ſeit vielen Monden ſchmerzlich entbehrte Heimath zuruͤckzukehren.
8	84	14	Roman	1889	Adam Mensch	Hermann Conradi	https://www.deutschestextarchiv.de/book/view/conradi_adam_1889?p=0009			Es gab gerade die Zeit um die vierte und fünfte Nachmittagsſtunde an einem Märztage.
9	34	6	Roman	1864	Eine Aegyptische Königstochter	Georg Ebers	https://www.deutschestextarchiv.de/book/view/ebers_koenigstochter01_1864?p=0019	23.98147	32.87718	Der Nil hatte ſein Bett verlaſſen.
10	122	20	Roman	1815	Ahnung und Gegenwart	Joseph von Eichendorff	https://www.deutschestextarchiv.de/book/view/eichendorff_ahnung_1815?p=0015			Die Sonne war eben prächtig aufgegangen, da fuhr ein Schiff zwiſchen den grünen Bergen und Wäldern auf der Donau herunter.
11	264	38	Roman	1834	Dichter und ihre Gesellen	Joseph von Eichendorff	https://www.deutschestextarchiv.de/book/view/eichendorff_dichter_1834?p=0010			In den letzten Strahlen der Abendſonne wurde auf der gruͤnen Hoͤhe ein junger Reiter ſichtbar, der zwiſchen dem Jauchzen der Hirten und heimkehrenden Spaziergaͤnger froͤhlich nach dem freundlichen Staͤdtchen hinabritt, das wie in einem Bluͤten-Meere im Grunde lag.
12	15	3	Roman	1886	Katz' und Maus	Nataly von Eschstruth	https://www.deutschestextarchiv.de/book/view/eschstruth_katz_1886?p=15			„Nun ſo redet!“
13	342	51	Roman	1899	Der Stechlin	Theodor Fontane	https://www.deutschestextarchiv.de/book/view/fontane_stechlin_1899?p=0010	53.1	12.8833	Im Norden der Grafſchaft Ruppin, hart an der mecklenburgiſchen Grenze, zieht ſich von dem Städtchen Granſee bis nach Rheinsberg hin (und noch darüber hinaus) eine mehrere Meilen lange Seeenkette durch eine menſchenarme, nur hie und da mit ein paar alten Dörfern, ſonſt aber ausſchließlich mit Förſtereien, Glas- und Teeröfen beſetzte Waldung.
14	437	60	Roman	1902	Die Poggenpuhls	Theodor Fontane	https://www.deutschestextarchiv.de/book/view/fontane_poggenpuhls_1897?p=0008	52.49152	13.36562	Die Poggenpuhls – eine Frau Majorin von Poggenpuhl mit ihren drei Töchtern Therese, Sophie und Manon – wohnten seit ihrer vor sieben Jahren erfolgten Uebersiedelung von Pommersch-Stargard nach Berlin in einem gerade um jene Zeit fertig gewordenen, also noch ziemlich mauerfeuchten Neubau der Großgörschenstraße, einem Eckhause, das einem braven und behäbigen Manne, dem ehemaligen Maurerpolier, jetzigen Rentier August Nottebohm gehörte.
15	493	72	Roman	1896	Effi Briest	Theodor Fontane	https://www.deutschestextarchiv.de/book/view/fontane_briest_1896?p=0010	52.76182	13.02641	In Front des ſchon ſeit Kurfürſt Georg Wilhelm von der Familie von Brieſt bewohnten Herrenhauſes zu Hohen-Cremmen fiel heller Sonnenſchein auf die mittagsſtille Dorfſtraße, während nach der Park- und Gartenſeite hin ein rechtwinklig angebauter Seitenflügel einen breiten Schatten erſt auf einen weiß und grün quadrierten Flieſengang und dann über dieſen hinaus auf ein großes in ſeiner Mitte mit einer Sonnenuhr und an ſeinem Rande mit Canna indica und Rhabarberſtauden beſetztes Rondell warf.
