Hört	VVIMP.2.Pl.Imp	hören
zu	PTKVZ	zu
,	$,	,
ich	PPER.1.Nom.Sg.*	ich
will	VMFIN.1.Sg.Pres.Ind	wollen
euch	PPER.2.Dat.Pl.*	euch
von	APPR	von
einem	ART.Dat.Sg.Neut	ein
guten	ADJA.Pos.Dat.Sg.Neut	gut
Lande	NN.Dat.Sg.Neut	Land
sagen	VVINF.Inf	sagen
,	$,	,
dahin	PROAV	dahin
würde	VAFIN.3.Sg.Past.Subj	werden
mancher	PIS.Nom.Sg.Masc	mancher
auswandern	VVINF.Inf	auswandern
,	$,	,
wüßte	VVFIN.3.Sg.Past.Subj	wissen
er	PPER.3.Nom.Sg.Masc	er
,	$,	,
wo	PWAV	wo
selbes	ADV	selbes
läge	VVFIN.3.Sg.Past.Subj	liegen
und	KON	und
eine	ART.Nom.Sg.Fem	ein
gute	ADJA.Pos.Nom.Sg.Fem	gut
Schiffsgelegenheit	NN.Nom.Sg.Fem	Schiffsgelegenheit
.	$.	.

