Zur	APPRART.Dat.Sg.Fem	zu
Zeit	NN.Dat.Sg.Fem	Zeit
als	KOUS	als
es	PPER.3.Nom.Sg.Neut	es
noch	ADV	noch
schöner	ADJD.Comp	schön
in	APPR	in
der	ART.Dat.Sg.Fem	der
Welt	NN.Dat.Sg.Fem	Welt
war	VAFIN.3.Sg.Past.Ind	sein
wie	KOKOM	wie
heutzutage	ADV	heutzutage
,	$,	,
geschah	VVFIN.3.Sg.Past.Ind	geschehen
es	PPER.3.Nom.Sg.Neut	es
,	$,	,
daß	KOUS	daß
ein	ART.Nom.Sg.Masc	ein
Wachtmeister	NN.Nom.Sg.Masc	Wachtmeister
des	ART.Gen.Sg.Neut	der
Soldatenlebens	NN.Gen.Sg.Neut	Soldatenleben
müde	ADJD.Pos	müde
wurde	VAFIN.3.Sg.Past.Ind	werden
und	KON	und
desertirte	VVFIN.3.Sg.Pres.Subj	desertirten
.	$.	.

