Diese	PDAT.Nom.Sg.Fem	dieser
Geschichte	NN.Nom.Sg.Fem	Geschichte
ist	VAFIN.3.Sg.Pres.Ind	sein
ganz	ADV	ganz
lügenhaft	ADJD.Pos	lügenhaft
zu	PTKZU	zu
erzählen	VVINF.Inf	erzählen
,	$,	,
Jungens	ADV	jungens
,	$,	,
aber	KON	aber
wahr	ADJD.Pos	wahr
ist	VAFIN.3.Sg.Pres.Ind	sein
sie	PPER.3.Nom.Sg.Fem	sie
doch	ADV	doch
,	$,	,
denn	KON	denn
mein	PPOSAT.Nom.Sg.Masc	mein
Großvater	NN.Nom.Sg.Masc	Großvater
,	$,	,
von	APPR	von
dem	PRELS.Dat.Sg.Masc	der
ich	PPER.1.Nom.Sg.*	ich
sie	PPER.3.Acc.Sg.Fem	sie
habe	VAFIN.1.Sg.Pres.Ind	haben
,	$,	,
pflegte	VVFIN.3.Sg.Past.Ind	pflegen
immer	ADV	immer
wenn	KOUS	wenn
er	PPER.3.Nom.Sg.Masc	er
sie	PPER.3.Acc.Sg.Fem	sie
erzählte	VVFIN.3.Sg.Past.Ind	erzählen
,	$,	,
dabei	PROAV	dabei
zu	PTKZU	zu
sagen	VVINF.Inf	sagen
:	$.	:
»	XY	»
Wahr	NN.Nom.Sg.Neut	Wahr
muß	VMFIN.3.Sg.Pres.Ind	müssen
sie	PPER.3.Nom.Sg.Fem	sie
doch	ADV	doch
sein	VAINF.Inf	sein
,	$,	,
meine	PPOSAT.Acc.Pl.Masc	mein
Söhne	NN.Acc.Pl.Masc	Sohn
,	$,	,
denn	KON	denn
sonst	ADV	sonst
könnte	VMFIN.3.Sg.Past.Subj	können
man	PIS.Nom.Sg.*	man
sie	PPER.3.Acc.*.*	sie
ja	ADV	ja
nicht	PTKNEG	nicht
erzählen	VVINF.Inf	erzählen
.	$.	.
«	XY	«

