Es	PPER.3.Acc.Sg.Neut	es
lebte	VVFIN.3.Sg.Past.Ind	leben
einmal	ADV	einmal
ein	ART.Nom.Sg.Masc	ein
alter	ADJA.Pos.Nom.Sg.Masc	alter
Mann	NN.Nom.Sg.Masc	Mann
in	APPR	in
einem	ART.Dat.Sg.Neut	ein
Waldhäuschen	NN.Dat.Sg.Neut	Waldhäuschen
,	$,	,
der	PRELS.Nom.Sg.Masc	der
besaß	VVFIN.3.Sg.Past.Ind	besitzen
außer	APPR	außer
mehrern	PIAT.Dat.Pl.Neut	mehrere
Kindern	NN.Dat.Pl.Neut	Kind
auch	ADV	auch
ein	ART.Acc.Sg.Neut	ein
Goldhähnchen	NN.Acc.Sg.Neut	Goldhähnchen
,	$,	,
das	PDS.Nom.Sg.Neut	der
ist	VAFIN.3.Sg.Pres.Ind	sein
der	ART.Nom.Sg.Masc	der
kleinste	ADJA.Sup.Nom.Sg.Masc	klein
unter	APPR	unter
den	ART.Dat.Pl.Masc	der
europäischen	ADJA.Pos.Dat.Pl.Masc	europäisch
Vögeln	NN.Dat.Pl.Masc	Vogel
und	KON	und
gehört	VVFIN.3.Sg.Pres.Ind	gehören
in	APPR	in
das	ART.Acc.Sg.Neut	der
Geschlecht	NN.Acc.Sg.Neut	Geschlecht
der	ART.Gen.Pl.Masc	der
Zaunkönige	NN.Gen.Pl.Masc	Zaunkönig
.	$.	.

