Alte	ADJA.Pos.Nom.Pl.*	alt
Großväter	NN.Nom.Pl.Masc	Großvater
und	KON	und
Großmütter	NN.Nom.Pl.Fem	Großmutter
haben	VAFIN.3.Pl.Pres.Ind	haben
schon	ADV	schon
oft	ADV	oft
ihren	PPOSAT.Dat.Pl.*	ihr
Enkeln	NN.Dat.Pl.Masc	Enkel
und	KON	und
Urenkeln	NN.Dat.Pl.Masc	Urenkel
erzählt	VVPP.Psp	erzählen
von	APPR	von
schönen	ADJA.Pos.Dat.Pl.Fem	schön
Schlangen	NN.Dat.Pl.Fem	Schlange
,	$,	,
die	PRELS.Nom.Pl.Fem	der
goldene	ADJA.Pos.Acc.Sg.Fem	goldene
Krönlein	NN.Acc.Sg.Fem	Krönlein
auf	APPR	auf
ihrem	PPOSAT.Dat.Sg.Neut	ihr
Haupte	NN.Dat.Sg.Neut	Haupte
tragen	VVFIN.3.Pl.Pres.Ind	tragen
;	$.	;
diese	PDS.Acc.Pl.Masc	dieser
nannten	VVFIN.3.Pl.Past.Ind	nennen
die	ART.Acc.Pl.*	der
Alten	NN.Acc.Pl.*	Alte
mit	APPR	mit
mancherlei	PIAT.*.*.*	mancherlei
Namen	NN.Dat.Pl.Masc	Name
,	$,	,
als	APPR	als
Otterkönig	NN.Nom.Sg.Masc	Otterkönig
,	$,	,
Krönleinnatter	NN.Acc.Pl.Masc	Krönleinnatter
,	$,	,
Schlangenkönigin	NN.Acc.Sg.Fem	Schlangenkönigin
und	KON	und
dergleichen	ADJD.Pos	dergleichen
,	$,	,
und	KON	und
sie	PPER.3.Nom.Pl.*	sie
haben	VAFIN.3.Pl.Pres.Ind	haben
gesagt	VVPP.Psp	sagen
,	$,	,
der	ART.Nom.Sg.Masc	der
Besitz	NN.Nom.Sg.Masc	Besitz
eines	ART.Gen.Sg.Neut	ein
solchen	PIAT.Gen.Sg.Neut	solcher
Krönleins	NN.Gen.Sg.Neut	Krönlein
bringe	VVFIN.3.Sg.Pres.Subj	bringen
großes	ADJA.Pos.Acc.Sg.Neut	große
Glück	NN.Acc.Sg.Neut	Glück
.	$.	.

