Alle	PIAT.Nom.Pl.Neut	aller
Kinder	NN.Nom.Pl.Neut	Kind
kennen	VVFIN.3.Pl.Pres.Ind	kennen
das	ART.Acc.Sg.Neut	der
Märchen	NN.Acc.Sg.Neut	Märchen
,	$,	,
wie	PWAV	wie
die	ART.Nom.Pl.Masc	der
Vögel	NN.Nom.Pl.Masc	Vogel
sich	PRF.3.Dat.Pl	sich
einen	PIS.Acc.Sg.Masc	einer
aus	APPR	aus
ihrer	PPOSAT.Dat.Sg.Fem	ihr
Mitte	NN.Dat.Sg.Fem	Mitte
zum	APPRART.Dat.Sg.Masc	zu
Könige	NN.Dat.Sg.Masc	König
wählen	VVINF.Inf	wählen
wollten	VMFIN.3.Pl.Past.Ind	wollen
,	$,	,
wie	PWAV	wie
der	ART.Nom.Sg.Masc	der
König	NN.Nom.Sg.Masc	König
sein	VAINF.Inf	sein
sollte	VMFIN.3.Sg.Past.Ind	sollen
,	$,	,
der	PRELS.Nom.Sg.Masc	der
am	PTKA	am
höchsten	ADJD.Sup	hoch
fliegen	VVINF.Inf	fliegen
könne	VMFIN.3.Sg.Pres.Subj	können
,	$,	,
und	KON	und
wie	PWAV	wie
darauf	PROAV	darauf
der	ART.Nom.Sg.Masc	der
Reiher	NN.Nom.Sg.Masc	Reiher
am	PTKA	am
höchsten	ADJD.Sup	hoch
flog	VVFIN.3.Sg.Past.Ind	fliegen
,	$,	,
aber	KON	aber
der	ART.Nom.Sg.Masc	der
kleine	ADJA.Pos.Nom.Sg.Masc	klein
Schalk	NN.Nom.Sg.Masc	Schalk
,	$,	,
der	ART.Nom.Sg.Masc	der
Zaunschlüpfer	NN.Nom.Sg.Masc	Zaunschlüpfer
,	$,	,
sich	PRF.3.Acc.Sg	sich
dem	ART.Dat.Sg.Masc	der
Reiher	NN.Dat.Sg.Masc	Reiher
auf	APPR	auf
den	ART.Acc.Sg.Masc	der
Rücken	NN.Acc.Sg.Masc	Rücken
gesetzt	VVPP.Psp	setzen
hatte	VAFIN.3.Sg.Past.Ind	haben
,	$,	,
und	KON	und
als	APPR	als
derselbe	PDS.Nom.Sg.Masc	derselbe
,	$,	,
der	PRELS.Nom.Sg.Masc	der
am	PTKA	am
höchsten	ADJD.Sup	hoch
flog	VVFIN.3.Sg.Past.Ind	fliegen
,	$,	,
nicht	PTKNEG	nicht
höher	ADJD.Comp	hoch
fliegen	VVINF.Inf	fliegen
konnte	VMFIN.3.Sg.Past.Ind	können
,	$,	,
sich	PRF.3.Acc.Sg	sich
das	ART.Nom.Sg.Neut	der
Zaunschlüpferlein	NN.Nom.Sg.Neut	Zaunschlüpferlein
erst	ADV	erst
auf	APPR	auf
eigenen	ADJA.Pos.Dat.Pl.Masc	eigen
Flügeln	NN.Dat.Pl.Masc	Flügel
aufschwang	VVFIN.3.Sg.Past.Ind	aufschwingen
und	KON	und
sich	PRF.3.Acc.Sg	sich
selbst	ADV	selbst
zum	APPRART.Dat.Sg.Masc	zu
Könige	NN.Dat.Sg.Masc	König
ausrief	VVFIN.3.Sg.Past.Ind	ausrufen
:	$.	:
»	$(	»
König	NN.Nom.Sg.Masc	König
bin	VAFIN.1.Sg.Pres.Ind	sein
ich	PPER.1.Nom.Sg.*	ich
!	$.	!

König	ADJD.Pos	könig
bin	VAFIN.1.Sg.Pres.Ind	sein
ich	PPER.1.Nom.Sg.*	ich
!	$.	!

«	XY	«

