Auf	APPR	auf
einem	ART.Dat.Sg.Neut	ein
hohen	ADJA.Pos.Dat.Sg.Neut	hoch
waldreichen	ADJA.Pos.Dat.Sg.Neut	waldreichen
Gebirge	NN.Dat.Sg.Neut	Gebirge
hauste	VVFIN.3.Sg.Past.Ind	hausen
ein	ART.Nom.Sg.Masc	ein
mächtiger	ADJA.Pos.Nom.Sg.Masc	mächtiger
Berggeist	NN.Nom.Sg.Masc	Berggeist
,	$,	,
der	PRELS.Nom.Sg.Masc	der
gerne	ADV	gerne
die	ART.Acc.Pl.Masc	der
Menschen	NN.Acc.Pl.Masc	Mensch
neckte	VVFIN.3.Sg.Past.Ind	necken
,	$,	,
die	ART.Acc.Pl.*	der
Bösen	NN.Acc.Pl.*	Böse
häufig	ADJD.Pos	häufig
tückte	VVFIN.3.Sg.Past.Ind	tücken
,	$,	,
und	KON	und
ihnen	PPER.3.Dat.Pl.Masc	ihnen
allerlei	PIAT.*.*.*	allerlei
schlimmen	ADJA.Pos.Acc.Sg.Masc	schlimm
Schabernack	NN.Acc.Sg.Masc	Schabernack
spielte	VVFIN.3.Sg.Past.Ind	spielen
,	$,	,
guten	ADJA.Pos.Dat.Pl.*	gut
Leuten	NN.Dat.Pl.*	Leute
aber	ADV	aber
hülfreich	ADJD.Pos	hülfreich
war	VAFIN.3.Sg.Past.Ind	sein
,	$,	,
wenn	KOUS	wenn
auch	ADV	auch
seine	PPOSAT.Nom.Sg.Fem	sein
Hülfe	NN.Nom.Sg.Fem	Hülfe
einen	ART.Acc.Sg.Masc	ein
absonderlichen	ADJA.Pos.Acc.Sg.Masc	absonderlich
Beischmack	NN.Acc.Sg.Masc	Beischmack
hatte	VAFIN.3.Sg.Past.Ind	haben
,	$,	,
und	KON	und
allerlei	PIAT.*.*.*	allerlei
Schrecken	NN.Acc.Sg.Masc	Schrecken
oder	KON	oder
Angst	NN.Acc.Sg.Fem	Angst
vorherging	VVFIN.3.Sg.Past.Ind	vorhergehen
,	$,	,
ehe	KOUS	ehe
die	ART.Nom.Sg.Fem	der
Hülfe	NN.Nom.Sg.Fem	Hülfe
eintrat	VVFIN.3.Sg.Past.Ind	eintreten
.	$.	.

