Weit	ADJD.Pos	weit
von	APPR	von
hier	ADV	hier
,	$,	,
da	ADV	da
,	$,	,
wohin	PWAV	wohin
die	ART.Nom.Pl.Fem	der
Schwalben	NN.Nom.Pl.*	Schwalbe
fliegen	VVFIN.3.Pl.Pres.Ind	fliegen
,	$,	,
wenn	KOUS	wenn
wir	PPER.1.Nom.Pl.*	wir
Winter	NN.Acc.Sg.Masc	Winter
haben	VAFIN.1.Pl.Pres.Ind	haben
,	$,	,
wohnte	VVFIN.3.Sg.Past.Ind	wohnen
ein	ART.Nom.Sg.Masc	ein
König	NN.Nom.Sg.Masc	König
,	$,	,
der	PRELS.Nom.Sg.Masc	der
elf	CARD	elf
Söhne	NN.Acc.Pl.Masc	Sohn
und	KON	und
eine	ART.Nom.Sg.Fem	ein
Tochter	NN.Nom.Sg.Fem	Tochter
,	$,	,
Elisa	NE.Nom.Sg.Fem	Elisa
,	$,	,
hatte	VAFIN.3.Sg.Past.Ind	haben
.	$.	.

