Sokrates	NN.Nom.Pl.Masc	Sokrat
,	$,	,
der	ART.Nom.Sg.Masc	der
Weise	NN.Nom.Sg.Masc	Weise
Griechenlands	NE.Gen.Sg.Neut	Griechenland
,	$,	,
hatte	VAFIN.3.Sg.Past.Ind	haben
muthig	ADJD.Pos	muthig
gekämpft	VVPP.Psp	kämpfen
gegen	APPR	gegen
die	ART.Acc.Pl.Masc	der
Feinde	NN.Acc.Pl.Masc	Feind
,	$,	,
und	KON	und
seine	PPOSAT.Nom.Pl.*	sein
Landsleute	NN.Nom.Pl.*	Landsleute
freuten	VVFIN.3.Pl.Past.Ind	freuen
sich	PRF.3.Acc.Pl	sich
deß	PTKVZ	deß
,	$,	,
und	KON	und
wollten	VMFIN.3.Pl.Past.Subj	wollen
ihm	PPER.3.Dat.Sg.Masc	ihm
die	ART.Acc.Sg.Fem	der
Krone	NN.Acc.Sg.Fem	Krone
der	ART.Gen.Sg.Fem	der
Tapferkeit	NN.Gen.Sg.Fem	Tapferkeit
aufsetzen	VVINF.Inf	aufsetzen
.	$.	.

