Einst	ADV	einst
saßen	VVFIN.3.Pl.Past.Ind	sitzen
etliche	PIAT.Nom.Pl.Fem	etlicher
Affen	NN.Nom.Pl.Fem	Affe
in	APPR	in
einer	ART.Dat.Sg.Fem	ein
kühlen	ADJA.Pos.Dat.Sg.Fem	kühl
Frühlingsnacht	NN.Dat.Sg.Fem	Frühlingsnacht
in	APPR	in
dem	ART.Dat.Sg.Masc	der
Garten	NN.Dat.Sg.Masc	Garten
eines	ART.Gen.Sg.Masc	ein
Königs	NN.Gen.Sg.Masc	König
,	$,	,
und	KON	und
froren	VVFIN.3.Pl.Past.Ind	frieren
gewaltig	ADJD.Pos	gewaltig
;	$.	;
denn	KON	denn
sie	PPER.3.Nom.Pl.Fem	sie
waren	VAFIN.3.Pl.Past.Ind	sein
aus	APPR	aus
einem	ART.Dat.Sg.Neut	ein
heißen	ADJA.Pos.Dat.Sg.Neut	heiß
Lande	NN.Dat.Sg.Neut	Land
dahin	PROAV	dahin
gebracht	VVPP.Psp	bringen
,	$,	,
und	KON	und
waren	VAFIN.3.Pl.Past.Ind	sein
der	ART.Dat.Sg.Fem	der
kühlen	ADJA.Pos.Dat.Sg.Fem	kühl
Witterung	NN.Dat.Sg.Fem	Witterung
nicht	PTKNEG	nicht
gewohnt	VVPP.Psp	wohnen
.	$.	.

