Ein	ART.Nom.Sg.Neut	ein
Wildschwein	NN.Nom.Sg.Neut	Wildschwein
thät	VVFIN.3.Sg.Pres.Ind	thaben
großen	ADJA.Pos.Acc.Sg.Masc	groß
Schaden	NN.Acc.Sg.Masc	Schaden
in	APPR	in
dem	ART.Dat.Sg.Neut	der
ganzen	ADJA.Pos.Dat.Sg.Neut	ganzen
Land	NN.Dat.Sg.Neut	Land
,	$,	,
kein	PIAT.Nom.Sg.Masc	kein
Mensch	NN.Nom.Sg.Masc	Mensch
getraute	VVFIN.3.Sg.Past.Ind	getrauen
sich	PRF.3.Acc.Sg	sich
in	APPR	in
den	ART.Acc.Sg.Masc	der
Wald	NN.Acc.Sg.Masc	Wald
,	$,	,
wo	PWAV	wo
es	PPER.3.Nom.Sg.Neut	es
herum	APZR	herum
lief	VVFIN.3.Sg.Past.Ind	laufen
,	$,	,
und	KON	und
wer	PWS.Nom.Sg.Masc	wer
so	ADV	so
kühn	ADJD.Pos	kühn
war	VAFIN.3.Sg.Past.Ind	sein
und	KON	und
auf	APPR	auf
es	PPER.3.Acc.Sg.Neut	es
einging	VVFIN.3.Sg.Past.Ind	eingehen
und	KON	und
es	PPER.3.Acc.Sg.Neut	es
tödten	VVINF.Inf	tödten
wollte	VMFIN.3.Sg.Past.Ind	wollen
,	$,	,
dem	PDS.Dat.Sg.Masc	der
riß	VVFIN.3.Sg.Past.Ind	reißen
es	PPER.3.Nom.Sg.Neut	es
den	ART.Acc.Sg.Masc	der
Leib	NN.Acc.Sg.Masc	Leib
mit	APPR	mit
seinen	PPOSAT.Dat.Pl.Masc	sein
Hauern	NN.Dat.Pl.Masc	Hauer
auf	PTKVZ	auf
.	$.	.

