Ein	ART.Nom.Sg.Masc	ein
König	NN.Nom.Sg.Masc	König
hatte	VAFIN.3.Sg.Past.Ind	haben
drei	CARD	drei
Söhne	NN.Acc.Pl.Masc	Sohn
,	$,	,
die	PRELS.Nom.Pl.Masc	der
waren	VAFIN.3.Pl.Past.Ind	sein
ihm	PPER.3.Dat.Sg.Masc	ihm
alle	PIS.Nom.Pl.*	alle
gleich	ADV	gleich
lieb	VVFIN.3.Sg.Past.Ind	leiben
,	$,	,
und	KON	und
er	PPER.3.Nom.Sg.Masc	er
wußte	VVFIN.3.Sg.Past.Ind	wissen
nicht	PTKNEG	nicht
,	$,	,
welchen	PWAT.Acc.Sg.Masc	welcher
er	PPER.3.Nom.Sg.Masc	er
zum	APPRART.Dat.Sg.Masc	zu
König	NN.Dat.Sg.Masc	König
nach	APPR	nach
seinem	PPOSAT.Dat.Sg.Masc	sein
Tode	NN.Dat.Sg.Masc	Tod
bestimmen	VVINF.Inf	bestimmen
sollte	VMFIN.3.Sg.Past.Ind	sollen
.	$.	.

