Einem	ART.Dat.Sg.Masc	ein
reichen	ADJA.Pos.Dat.Sg.Masc	reich
Manne	NN.Dat.Sg.Masc	Mann
,	$,	,
dem	PRELS.Dat.Sg.Masc	der
wurde	VAFIN.3.Sg.Past.Ind	werden
seine	PPOSAT.Nom.Sg.Fem	sein
Frau	NN.Nom.Sg.Fem	Frau
krank	ADJD.Pos	krank
,	$,	,
und	KON	und
als	KOUS	als
sie	PPER.3.Nom.Sg.Fem	sie
fühlte	VVFIN.3.Sg.Past.Ind	fühlen
,	$,	,
daß	KOUS	daß
ihr	PPOSAT.Nom.Sg.Neut	ihr
Ende	NN.Nom.Sg.Neut	Ende
herankam	VVFIN.3.Sg.Past.Ind	herankommen
,	$,	,
rief	VVFIN.3.Sg.Past.Ind	rufen
sie	PPER.3.Nom.Sg.Fem	sie
ihr	PPOSAT.Acc.Sg.Neut	ihr
einziges	ADJA.Pos.Acc.Sg.Neut	einziger
Töchterlein	NN.Acc.Sg.Neut	Töchterlein
zu	APPR	zu
sich	PRF.3.Dat.Sg	sich
ans	APPRART.Acc.Sg.Neut	an
Bett	NN.Acc.Sg.Neut	Bett
und	KON	und
sprach	VVFIN.3.Sg.Past.Ind	sprechen
»	FM	»
liebes	ADJA.Pos.Acc.Sg.Neut	liebes
Kind	NN.Acc.Sg.Neut	Kind
,	$,	,
bleibe	VVFIN.3.Sg.Pres.Subj	bleiben
fromm	ADJD.Pos	fromm
und	KON	und
gut	ADJD.Pos	gut
,	$,	,
so	ADV	so
wird	VAFIN.3.Sg.Pres.Ind	werden
dir	PPER.2.Dat.Sg.*	dir
der	ART.Nom.Sg.Masc	der
liebe	ADJA.Pos.Nom.Sg.Masc	lieb
Gott	NN.Nom.Sg.Masc	Gott
immer	ADV	immer
beistehen	VVINF.Inf	beistehen
,	$,	,
und	KON	und
ich	PPER.1.Nom.Sg.*	ich
will	VMFIN.1.Sg.Pres.Ind	wollen
vom	APPRART.Dat.Sg.Masc	von
Himmel	NN.Dat.Sg.Masc	Himmel
auf	APPR	auf
dich	PPER.2.Acc.Sg.*	dich
herabblicken	VVINF.Inf	herabblicken
,	$,	,
und	KON	und
will	VMFIN.1.Sg.Pres.Ind	wollen
um	APPR	um
dich	PPER.2.Acc.Sg.*	dich
sein	VAINF.Inf	sein
.	$.	.
«	XY	«

