Es	PPER.3.Nom.Sg.Neut	es
hatte	VAFIN.3.Sg.Past.Ind	haben
ein	ART.Nom.Sg.Masc	ein
Bauer	NN.Nom.Sg.Masc	Bauer
einen	ART.Acc.Sg.Masc	ein
treuen	ADJA.Pos.Acc.Sg.Masc	treu
Hund	NN.Acc.Sg.Masc	Hund
,	$,	,
der	PRELS.Nom.Sg.Masc	der
Sultan	NE.Dat.Sg.Masc	Sultan
hieß	VVFIN.3.Sg.Past.Ind	heißen
,	$,	,
der	PRELS.Nom.Sg.Masc	der
war	VAFIN.3.Sg.Past.Ind	sein
alt	ADJD.Pos	alt
geworden	VAPP.Psp	werden
und	KON	und
hatte	VAFIN.3.Sg.Past.Ind	haben
alle	PIAT.Acc.Pl.Masc	aller
Zähne	NN.Acc.Pl.Masc	Zahn
verloren	VVPP.Psp	verlieren
,	$,	,
so	ADV	so
daß	KOUS	daß
er	PPER.3.Nom.Sg.Masc	er
nichts	PIS.*.*.Neut	nichts
mehr	ADV	mehr
fest	ADJD.Pos	fest
packen	VVINF.Inf	packen
konnte	VMFIN.3.Sg.Past.Ind	können
.	$.	.

