Zwölf	CARD	zwölf
Knechte	NN.Nom.Pl.Masc	Knecht
,	$,	,
die	PRELS.Nom.Pl.Masc	der
den	ART.Acc.Sg.Masc	der
ganzen	ADJA.Pos.Acc.Sg.Masc	ganz
Tag	NN.Acc.Sg.Masc	Tag
nichts	PIS.*.*.Neut	nichts
getan	VVPP.Psp	tun
hatten	VAFIN.3.Pl.Past.Ind	haben
,	$,	,
wollten	VMFIN.3.Pl.Past.Ind	wollen
sich	PRF.3.Acc.Pl	sich
am	APPRART.Dat.Sg.Masc	an
Abend	NN.Dat.Sg.Masc	Abend
nicht	PTKNEG	nicht
noch	ADV	noch
anstrengen	VVINF.Inf	anstrengen
,	$,	,
sondern	KON	sondern
legten	VVFIN.3.Pl.Past.Ind	legen
sich	PRF.3.Acc.Pl	sich
ins	APPRART.Acc.Sg.Neut	in
Gras	NN.Acc.Sg.Neut	Gras
und	KON	und
rühmten	VVFIN.3.Pl.Past.Ind	rühmen
sich	PRF.3.Acc.Pl	sich
ihrer	PPOSAT.Gen.Sg.Fem	ihr
Faulheit	NN.Gen.Sg.Fem	Faulheit
.	$.	.

