Sage	VVFIN.3.Sg.Pres.Subj	sagen
niemand	PIS.Nom.Sg.Masc	niemand
,	$,	,
daß	KOUS	daß
ein	ART.Nom.Sg.Masc	ein
armer	ADJA.Pos.Nom.Sg.Masc	armer
Schneider	NN.Nom.Sg.Masc	Schneider
es	PPER.3.Acc.Sg.Neut	es
nicht	PTKNEG	nicht
weit	ADJD.Pos	weit
bringen	VVINF.Inf	bringen
und	KON	und
nicht	PTKNEG	nicht
zu	PTKA	zu
hohen	ADJA.Pos.Dat.Pl.Fem	hoch
Ehren	NN.Dat.Pl.Fem	Ehre
gelangen	VVINF.Inf	gelangen
könne	VMFIN.3.Sg.Pres.Subj	können
,	$,	,
es	PPER.3.Nom.Sg.Neut	es
ist	VAFIN.3.Sg.Pres.Ind	sein
weiter	ADV	weiter
gar	ADV	gar
nichts	PIS.*.*.Neut	nichts
nötig	ADJD.Pos	nötig
,	$,	,
als	KOKOM	als
daß	KOUS	daß
er	PPER.3.Nom.Sg.Masc	er
an	APPR	an
die	ART.Acc.Sg.Fem	der
rechte	ADJA.Pos.Acc.Sg.Fem	rechter
Schmiede	NN.Acc.Sg.Fem	Schmiede
kommt	VVFIN.3.Sg.Pres.Ind	kommen
und	KON	und
,	$,	,
was	PWS.Nom.Sg.Neut	was
die	ART.Nom.Sg.Fem	der
Hauptsache	NN.Nom.Sg.Fem	Hauptsache
ist	VAFIN.3.Sg.Pres.Ind	sein
,	$,	,
daß	KOUS	daß
es	PPER.3.Nom.Sg.Neut	es
ihm	PPER.3.Dat.Sg.Masc	ihm
glückt	VVFIN.3.Sg.Pres.Ind	glücken
.	$.	.

