Vorzeiten	NN.Acc.Pl.Fem	Vorzeit
gab	VVFIN.3.Sg.Past.Ind	geben
es	PPER.3.Nom.Sg.Neut	es
ein	ART.Acc.Sg.Neut	ein
Land	NN.Acc.Sg.Neut	Land
,	$,	,
wo	PWAV	wo
die	ART.Nom.Sg.Fem	der
Nacht	NN.Nom.Sg.Fem	Nacht
immer	ADV	immer
dunkel	ADJD.Pos	dunkel
und	KON	und
der	ART.Nom.Sg.Masc	der
Himmel	NN.Nom.Sg.Masc	Himmel
wie	KOKOM	wie
ein	ART.Nom.Sg.Neut	ein
schwarzes	ADJA.Pos.Nom.Sg.Neut	schwarze
Tuch	NN.Nom.Sg.Neut	Tuch
darüber	PROAV	darüber
gebreitet	VVPP.Psp	breiten
war	VAFIN.3.Sg.Past.Ind	sein
,	$,	,
denn	KON	denn
es	PPER.3.Nom.Sg.Neut	es
ging	VVFIN.3.Sg.Past.Ind	gehen
dort	ADV	dort
niemals	ADV	niemals
der	ART.Nom.Sg.Masc	der
Mond	NN.Nom.Sg.Masc	Mond
auf	PTKVZ	auf
,	$,	,
und	KON	und
kein	PIAT.Nom.Sg.Masc	kein
Stern	NN.Nom.Sg.Masc	Stern
blinkte	VVFIN.3.Sg.Past.Ind	blinken
in	APPR	in
der	ART.Dat.Sg.Fem	der
Finsternis	NN.Dat.Sg.Fem	Finsternis
.	$.	.

