Als	KOUS	als
Adam	NE.Nom.Sg.Neut	Adam
und	KON	und
Eva	NE.Nom.Sg.*	Eva
aus	APPR	aus
dem	ART.Dat.Sg.Neut	der
Paradies	NN.Dat.Sg.Neut	Paradies
vertrieben	VVPP.Psp	vertreiben
waren	VAFIN.3.Pl.Past.Ind	sein
,	$,	,
so	ADV	so
mußten	VMFIN.3.Pl.Past.Ind	müssen
sie	PPER.3.Nom.Pl.*	sie
auf	APPR	auf
unfruchtbarer	ADJA.Pos.Dat.Sg.Fem	unfruchtbarer
Erde	NN.Dat.Sg.Fem	Erde
sich	PRF.3.Dat.Pl	sich
ein	ART.Acc.Sg.Neut	ein
Haus	NN.Acc.Sg.Neut	Haus
bauen	VVINF.Inf	bauen
und	KON	und
im	APPRART.Dat.Sg.Masc	in
Schweiße	NN.Dat.Sg.Masc	Schweiß
ihres	PPOSAT.Gen.Sg.Neut	ihr
Angesichts	NN.Gen.Sg.Neut	Angesicht
ihr	PPOSAT.Acc.Sg.Neut	ihr
Brot	NN.Acc.Sg.Neut	Brot
essen	VVINF.Inf	essen
.	$.	.

