Vorzeiten	NN.Nom.Pl.Fem	Vorzeit
,	$,	,
als	APPR	als
Gott	NN.Nom.Sg.Masc	Gott
noch	ADV	noch
selbst	ADV	selbst
auf	APPR	auf
Erden	NN.Dat.Sg.Fem	Erde
wandelte	VVFIN.3.Sg.Past.Ind	wandeln
,	$,	,
da	ADV	da
war	VAFIN.3.Sg.Past.Ind	sein
die	ART.Nom.Sg.Fem	der
Fruchtbarkeit	NN.Nom.Sg.Fem	Fruchtbarkeit
des	ART.Gen.Sg.Masc	der
Bodens	NN.Gen.Sg.Masc	Boden
viel	ADV	viel
größer	ADJD.Comp	groß
als	KOKOM	als
sie	PPER.3.Nom.Sg.Fem	sie
jetzt	ADV	jetzt
ist	VAFIN.3.Sg.Pres.Ind	sein
:	$.	:
damals	ADV	damals
trugen	VVFIN.3.Pl.Past.Ind	tragen
die	ART.Nom.Pl.Fem	der
Ähren	NN.Nom.Pl.Neut	Ähr
nicht	PTKNEG	nicht
fünfzig-oder	ADJD.Pos	fünfzig-oder
sechzigfältig	ADJD.Pos	sechzigfältig
,	$,	,
sondern	KON	sondern
vier-	TRUNC.Pos	vier
bis	KON	bis
fünfhundertfältig	ADJD.Pos	fünfhundertfältig
.	$.	.

