Mein	PPOSAT.Nom.Sg.Masc	mein
Vater	NN.Nom.Sg.Masc	Vater
hatte	VAFIN.3.Sg.Past.Ind	haben
einen	ART.Acc.Sg.Masc	ein
kleinen	ADJA.Pos.Acc.Sg.Masc	klein
Laden	NN.Acc.Sg.Masc	Laden
in	APPR	in
Balsora	NE.Dat.Sg.Neut	Balsora
;	$.	;
er	PPER.3.Nom.Sg.Masc	er
war	VAFIN.3.Sg.Past.Ind	sein
weder	KON	weder
arm	ADJD.Pos	arm
noch	KON	noch
reich	ADJD.Pos	reich
und	KON	und
war	VAFIN.3.Sg.Past.Ind	sein
einer	PIS.Nom.Sg.Masc	einer
von	APPR	von
jenen	PDAT.Dat.Pl.*	jener
Leuten	NN.Dat.Pl.*	Leute
,	$,	,
die	PRELS.Nom.Pl.*	der
nicht	PTKNEG	nicht
gerne	ADV	gerne
etwas	PIS.*.*.Neut	etwas
wagen	VVFIN.3.Pl.Pres.Ind	wagen
,	$,	,
aus	APPR	aus
Furcht	NN.Dat.Sg.Fem	Furcht
das	ART.Acc.Sg.Neut	der
wenige	PIS.Acc.Sg.Neut	weniger
zu	PTKZU	zu
verlieren	VVINF.Inf	verlieren
,	$,	,
das	PRELS.Acc.Sg.Neut	der
sie	PPER.3.Nom.Pl.*	sie
haben	VAFIN.3.Pl.Pres.Ind	haben
.	$.	.

