Ich	PPER.1.Nom.Sg.*	ich
bin	VAFIN.1.Sg.Pres.Ind	sein
in	APPR	in
Konstantinopel	NE.Dat.Sg.Neut	Konstantinopel
geboren	VVPP.Psp	gebären
;	$.	;
mein	PPOSAT.Nom.Sg.Masc	mein
Vater	NN.Nom.Sg.Masc	Vater
war	VAFIN.3.Sg.Past.Ind	sein
ein	ART.Nom.Sg.Masc	ein
Dragoman	NN.Nom.Sg.Masc	Dragoman
bei	APPR	bei
der	ART.Dat.Sg.Fem	der
Pforte	NN.Dat.Sg.Fem	Pforte
,	$,	,
und	KON	und
trieb	VVFIN.3.Sg.Past.Ind	treiben
nebenbei	ADV	nebenbei
einen	ART.Acc.Sg.Masc	ein
ziemlich	ADV	ziemlich
einträglichen	ADJA.Pos.Acc.Sg.Masc	einträglich
Handel	NN.Acc.Sg.Masc	Handel
mit	APPR	mit
wohlriechenden	ADJA.Pos.Dat.Pl.Fem	wohlriechend
Essenzen	NN.Dat.Pl.Fem	Essenz
und	KON	und
seidenen	ADJA.Pos.Dat.Pl.Masc	seiden
Stoffen	NN.Dat.Pl.Masc	Stoff
.	$.	.

