Dicht	ADJD.Pos	dicht
an	APPR	an
der	ART.Dat.Sg.Fem	der
großen	ADJA.Pos.Dat.Sg.Fem	groß
See	NN.Dat.Sg.Fem	See
,	$,	,
ich	PPER.1.Nom.Sg.*	ich
weiß	VVFIN.1.Sg.Pres.Ind	wissen
nicht	PTKNEG	nicht
mehr	ADV	mehr
wo	PWAV	wo
?	$.	?

wohnten	VVFIN.3.Pl.Past.Ind	wohnen
ein	ART.Nom.Sg.Masc	ein
Fischer	NN.Nom.Sg.Masc	Fischer
und	KON	und
seine	PPOSAT.Nom.Sg.Fem	sein
Frau	NN.Nom.Sg.Fem	Frau
in	APPR	in
einer	ART.Dat.Sg.Fem	ein
schmutzigen	ADJA.Pos.Dat.Sg.Fem	schmutzig
armseligen	ADJA.Pos.Dat.Sg.Fem	armselig
Fischhütte	NN.Dat.Sg.Fem	Fischhütte
,	$,	,
von	APPR	von
verfaultem	ADJA.Pos.Dat.Sg.Neut	verfaultem
Schilfrohr	NN.Dat.Sg.Neut	Schilfrohr
,	$,	,
in	APPR	in
welcher	PRELS.Dat.Sg.Fem	welcher
weder	KON	weder
Bett	NN.Dat.Sg.Neut	Bett
noch	KON	noch
Stuhl	NN.Nom.Sg.Masc	Stuhl
war	VAFIN.3.Sg.Past.Ind	sein
,	$,	,
und	KON	und
sie	PPER.3.Nom.Pl.*	sie
konnten	VMFIN.3.Pl.Past.Ind	können
sich	PRF.3.Acc.Pl	sich
doch	ADV	doch
nicht	PTKNEG	nicht
darin	PROAV	darin
regen	VVINF.Inf	regen
noch	ADV	noch
rühren	VVINF.Inf	rühren
.	$.	.

