Ja	PTKANT	ja
doch	ADV	doch
!	$.	!

wie	PWAV	wie
man	PIS.Nom.Sg.*	man
wieder	ADV	wieder
jung	ADJD.Pos	jung
,	$,	,
schön	ADJD.Pos	schön
und	KON	und
gesund	ADJD.Pos	gesund
obenein	ADV	obenein
werden	VAINF.Inf	werden
kann	VMFIN.3.Sg.Pres.Ind	können
,	$,	,
daran	PROAV	daran
hat	VAFIN.3.Sg.Pres.Ind	haben
man	PIS.Nom.Sg.*	man
denn	ADV	denn
nun	ADV	nun
wohl	ADV	wohl
schon	ADV	schon
in	APPR	in
der	ART.Dat.Sg.Fem	der
uralten	ADJA.Pos.Dat.Sg.Fem	uralt
Heiden-	TRUNC.Dat.Sg.Fem	Heide
und	KON	und
Griechenwelt	NN.Dat.Sg.Fem	Griechenwelt
gedacht	VVPP.Psp	denken
,	$,	,
nur	ADV	nur
ist	VAFIN.3.Sg.Pres.Ind	sein
es	PPER.3.Nom.Sg.Neut	es
kein	PIAT.Nom.Sg.Neut	kein
einzigs	ADV	einzigs
Mal	NN.Nom.Sg.Neut	Mal
damit	PROAV	damit
gut	ADJD.Pos	gut
und	KON	und
glücklich	ADJD.Pos	glücklich
abgegangen	VVPP.Psp	abgehen
,	$,	,
ein	ART.Acc.Sg.Neut	ein
einziges	ADJA.Pos.Acc.Sg.Neut	einziger
Mal	NN.Acc.Sg.Neut	Mal
ausgenommen	VVPP.Psp	ausnehmen
,	$,	,
weil	KOUS	weil
Jemand	PIS.Nom.Sg.Masc	jemand
das	ART.Acc.Sg.Neut	der
Kunststück	NN.Acc.Sg.Neut	Kunststück
machte	VVFIN.3.Sg.Past.Ind	machen
,	$,	,
der	PRELS.Nom.Sg.Masc	der
es	PPER.3.Acc.Sg.Neut	es
gar	ADV	gar
ordentlich	ADJD.Pos	ordentlich
und	KON	und
genau	ADJD.Pos	genau
verstand	VVFIN.3.Sg.Past.Ind	verstehen
.	$.	.

