Die	ART.Nom.Sg.Fem	der
Hannse	NN.Nom.Sg.Fem	Hannse
kommen	VVFIN.3.Pl.Pres.Ind	kommen
freilich	ADV	freilich
,	$,	,
wie	PWAV	wie
Ihr	PPER.2.Nom.Pl.*	ihr
schon	ADV	schon
gelesen	VVPP.Psp	lesen
habt	VAFIN.3.Sg.Pres.Ind	haben
,	$,	,
gar	ADV	gar
häufig	ADJD.Pos	häufig
durch	APPR	durch
ihre	PPOSAT.Acc.Sg.Fem	ihr
Dummheit	NN.Acc.Sg.Fem	Dummheit
fort	PTKVZ	fort
,	$,	,
aber	KON	aber
allemal	ADV	allemal
doch	ADV	doch
nicht	PTKNEG	nicht
,	$,	,
zumal	KOUS	zumal
dann	ADV	dann
nicht	PTKNEG	nicht
,	$,	,
wenn	KOUS	wenn
sie	PPER.3.Nom.Pl.*	sie
dabei	PROAV	dabei
hochmüthig	ADJD.Pos	hochmüthig
sind	VAFIN.3.Pl.Pres.Ind	sein
.	$.	.

