Einige	PIAT.Acc.Pl.Fem	einiger
Stunden	NN.Acc.Pl.Fem	Stunde
von	APPR	von
Stuttgart	NE.Dat.Sg.Neut	Stuttgart
,	$,	,
in	APPR	in
der	ART.Dat.Sg.Fem	der
Gegend	NN.Dat.Sg.Fem	Gegend
wo	PWAV	wo
jetzt	ADV	jetzt
Hohenheim	NE.Nom.Sg.Masc	Hohenheim
liegt	VVFIN.3.Sg.Pres.Ind	liegen
,	$,	,
wohnte	VVFIN.3.Sg.Past.Ind	wohnen
in	APPR	in
alten	ADJA.Pos.Dat.Pl.Fem	alt
Zeiten	NN.Dat.Pl.Fem	Zeit
ein	ART.Nom.Sg.Masc	ein
Müller	NN.Nom.Sg.Masc	Müller
,	$,	,
der	PDS.Nom.Sg.Masc	der
konnte	VMFIN.3.Sg.Past.Ind	können
mit	APPR	mit
seiner	PPOSAT.Dat.Sg.Fem	sein
Mühle	NN.Dat.Sg.Fem	Mühle
nicht	PTKNEG	nicht
vorwärts	ADV	vorwärts
kommen	VVINF.Inf	kommen
,	$,	,
denn	KON	denn
sie	PPER.3.Nom.Sg.Fem	sie
gehörte	VVFIN.3.Sg.Past.Ind	gehören
erstens	ADV	erstens
nicht	PTKNEG	nicht
ihm	PPER.3.Dat.Sg.Masc	ihm
,	$,	,
sondern	KON	sondern
einem	ART.Dat.Sg.Masc	ein
Edelmann	NN.Dat.Sg.Masc	Edelmann
,	$,	,
dem	PRELS.Dat.Sg.Masc	der
er	PPER.3.Nom.Sg.Masc	er
viel	PIAT.*.*.*	viel
Pachtgeld	NN.Acc.Sg.Neut	Pachtgeld
dafür	PROAV	dafür
bezahlen	VVINF.Inf	bezahlen
mußte	VMFIN.3.Sg.Past.Ind	müssen
;	$.	;
und	KON	und
zweitens	ADV	zweitens
fehlte	VVFIN.3.Sg.Past.Ind	fehlen
es	PPER.3.Acc.Sg.Neut	es
der	ART.Dat.Sg.Fem	der
Mühle	NN.Dat.Sg.Fem	Mühle
oft	ADV	oft
an	APPR	an
Waßer	NN.Dat.Sg.Neut	Waßer
,	$,	,
so	ADV	so
daß	KOUS	daß
er	PPER.3.Nom.Sg.Masc	er
nur	ADV	nur
wenig	PIS.*.*.*	wenig
mahlen	VVINF.Inf	mahlen
und	KON	und
wenig	ADV	wenig
damit	PROAV	damit
verdienen	VVINF.Inf	verdienen
konnte	VMFIN.3.Sg.Past.Ind	können
.	$.	.

