Der	ART.Nom.Sg.Masc	der
liebe	ADJA.Pos.Nom.Sg.Masc	lieb
Heiland	NE.Nom.Sg.Masc	Heiland
und	KON	und
Petrus	NE.Nom.Sg.Masc	Petrus
waren	VAFIN.3.Pl.Past.Ind	sein
einmal	ADV	einmal
mit	APPR	mit
einander	ADV	einander
auf	APPR	auf
Reisen	NN.Acc.Pl.Fem	Reise
;	$.	;
da	ADV	da
kamen	VVFIN.3.Pl.Past.Ind	kommen
sie	PPER.3.Nom.Pl.Fem	sie
ganz	ADV	ganz
ermüdet	VVPP.Psp	ermüden
zu	APPR	zu
einem	ART.Dat.Sg.Masc	ein
reichen	ADJA.Pos.Dat.Sg.Masc	reich
Bauer	NN.Dat.Sg.Masc	Bauer
und	KON	und
baten	VVFIN.3.Pl.Past.Ind	bitten
ihn	PPER.3.Acc.Sg.Masc	ihn
,	$,	,
daß	KOUS	daß
er	PPER.3.Nom.Sg.Masc	er
ihnen	PPER.3.Dat.Pl.*	ihnen
ein	ART.Acc.Sg.Neut	ein
Nachtlager	NN.Acc.Sg.Neut	Nachtlager
geben	VVINF.Inf	geben
möge	VMFIN.3.Sg.Pres.Subj	mögen
.	$.	.

