Unser	PPOSAT.Nom.Sg.Masc	unser
Heiland	NE.Nom.Sg.Masc	Heiland
und	KON	und
der	ART.Nom.Sg.Masc	der
heilige	ADJA.Pos.Nom.Sg.Masc	heilig
Petrus	NN.Nom.Sg.Masc	Petrus
kamen	VVFIN.3.Pl.Past.Ind	kommen
auf	APPR	auf
ihren	PPOSAT.Dat.Pl.Fem	ihr
Wanderungen	NN.Dat.Pl.Fem	Wanderung
eines	ART.Gen.Sg.Masc	ein
Abends	NN.Gen.Sg.Masc	Abend
in	APPR	in
ein	ART.Acc.Sg.Neut	ein
Dorf	NN.Acc.Sg.Neut	Dorf
und	KON	und
baten	VVFIN.3.Pl.Past.Ind	bitten
einen	ART.Acc.Sg.Masc	ein
Mann	NN.Acc.Sg.Masc	Mann
,	$,	,
der	PRELS.Nom.Sg.Masc	der
ein	ART.Acc.Sg.Neut	ein
großes	ADJA.Pos.Acc.Sg.Neut	große
schönes	ADJA.Pos.Acc.Sg.Neut	schönes
Haus	NN.Acc.Sg.Neut	Haus
hatte	VAFIN.3.Sg.Past.Ind	haben
,	$,	,
um	APPR	um
eine	ART.Acc.Sg.Fem	ein
Nachtherberge	NN.Acc.Sg.Fem	Nachtherberge
.	$.	.

