Wie	PWAV	wie
in	APPR	in
der	ART.Dat.Sg.Fem	der
Welt	NN.Dat.Sg.Fem	Welt
gar	ADV	gar
viele	PIAT.Nom.Pl.Neut	vieler
wunderliche	ADJA.Pos.Nom.Pl.Neut	wunderlich
Dinge	NN.Nom.Pl.Neut	Ding
geschehen	VVFIN.3.Pl.Pres.Ind	geschehen
,	$,	,
so	ADV	so
trug	VVFIN.3.Sg.Past.Ind	tragen
sich's	PRF.3.Acc.Sg	sicher
auch	ADV	auch
einmal	ADV	einmal
zu	PTKVZ	zu
,	$,	,
daß	KOUS	daß
eine	ART.Nom.Sg.Fem	ein
arme	ADJA.Pos.Nom.Sg.Fem	arm
Frau	NN.Nom.Sg.Fem	Frau
sieben	CARD	sieben
Knäblein	NN.Acc.Sg.Neut	Knäblein
auf	APPR	auf
einmal	ADV	einmal
gebar	ADJD.Pos	gebar
;	$.	;
und	KON	und
diese	PDS.Nom.Sg.Fem	dieser
lebten	VVFIN.3.Pl.Past.Subj	leben
alle	PIS.Acc.Pl.*	alle
und	KON	und
gediehen	VVFIN.3.Pl.Pres.Ind	gediehen
alle	PIS.Acc.Pl.*	alle
.	$.	.

