Unweit	ADJD.Pos	unweit
Freiburg	NE.Nom.Sg.Neut	Freiburg
,	$,	,
in	APPR	in
einer	ART.Dat.Sg.Fem	ein
romantisch-schönen	ADJA.Pos.Dat.Sg.Fem	romantisch-schönen
Gegend	NN.Dat.Sg.Fem	Gegend
,	$,	,
erhebt	VVFIN.3.Sg.Pres.Ind	erheben
sich	PRF.3.Acc.Sg	sich
ein	ART.Nom.Sg.Masc	ein
mittelmäßiger	ADJA.Pos.Nom.Sg.Masc	mittelmäßiger
Berg	NN.Nom.Sg.Masc	Berg
,	$,	,
von	APPR	von
dem	PRELS.Dat.Sg.Masc	der
Volke	NN.Nom.Pl.Neut	Volk
des	ART.Gen.Sg.Neut	der
Landes	NN.Gen.Sg.Neut	Land
mit	APPR	mit
dem	ART.Dat.Sg.Masc	der
Namen	NN.Dat.Sg.Masc	Namen
benennt	VVFIN.3.Sg.Pres.Ind	benennen
,	$,	,
den	PRELS.Acc.Sg.Masc	der
ihr	PPER.3.Dat.Sg.Fem	ihr
an	APPR	an
der	ART.Dat.Sg.Fem	der
Spitze	NN.Dat.Sg.Fem	Spitze
der	ART.Gen.Sg.Fem	der
alten	ADJA.Pos.Gen.Sg.Fem	alt
Sage	NN.Gen.Sg.Fem	Sage
stehen	VVINF.Inf	stehen
seht	VVFIN.3.Sg.Pres.Ind	sehen
,	$,	,
mit	APPR	mit
welcher	PRELS.Dat.Sg.Fem	welcher
ich	PPER.1.Nom.Sg.*	ich
euch	PPER.2.Dat.Pl.*	euch
,	$,	,
meine	PPOSAT.Acc.Pl.Fem	mein
Thueren	NN.Acc.Pl.Fem	Thuere
,	$,	,
in	APPR	in
dieser	PDAT.Dat.Sg.Fem	dieser
Stunde	NN.Dat.Sg.Fem	Stunde
der	ART.Gen.Sg.Fem	der
Ruhe	NN.Gen.Sg.Fem	Ruhe
unterhalten	VVINF.Inf	unterhalten
will	VMFIN.3.Sg.Pres.Ind	wollen
.	$.	.

