Hatten	VAFIN.3.Pl.Past.Ind	haben
die	ART.Nom.Pl.Fem	der
Begebenheiten	NN.Nom.Pl.Fem	Begebenheit
des	ART.Gen.Sg.Masc	der
tugendhaften	ADJA.Pos.Gen.Sg.Masc	tugendhaft
Thonis	NE.Gen.Sg.Masc	Thoni
und	KON	und
der	ART.Gen.Sg.Fem	der
Königin	NN.Gen.Sg.Fem	Königin
Faöué	NE.Nom.Sg.Fem	Faöué
einige	PIAT.Acc.Pl.Masc	einiger
Reize	NN.Acc.Pl.Masc	Reiz
für	APPR	für
Euch	PPER.2.Acc.Pl.*	euch
,	$,	,
so	ADV	so
werdet	VAFIN.3.Sg.Pres.Subj	werden
Ihr	PPER.2.Nom.Pl.*	ihr
vielleicht	ADV	vielleicht
begierig	ADJD.Pos	begierig
seyn	VVPP.Psp	seyn
,	$,	,
auch	ADV	auch
etwas	PIS.*.*.Neut	etwas
von	APPR	von
den	ART.Dat.Pl.Neut	der
Schicksalen	NN.Dat.Pl.Neut	Schicksal
ihrer	PPOSAT.Gen.Pl.Masc	ihr
Nachkommen	NN.Gen.Pl.Masc	Nachkomme
zu	PTKZU	zu
hören	VVINF.Inf	hören
.	$.	.

