Die	ART.Nom.Pl.Masc	der
Apostel	NN.Nom.Pl.Masc	Apostel
Petrus	NE.Nom.Sg.*	Petrus
und	KON	und
Paulus	NE.Nom.Sg.*	Paulus
machten	VVFIN.3.Pl.Past.Ind	machen
einmal	ADV	einmal
zusammen	ADV	zusammen
eine	ART.Acc.Sg.Fem	ein
Reise	NN.Acc.Sg.Fem	Reise
,	$,	,
und	KON	und
als	KOUS	als
es	PPER.3.Nom.Sg.Neut	es
Abend	NN.Acc.Sg.Masc	Abend
wurde	VAFIN.3.Sg.Past.Ind	werden
,	$,	,
kamen	VVFIN.3.Pl.Past.Ind	kommen
sie	PPER.3.Nom.Pl.*	sie
miteinander	ADV	miteinander
an	APPR	an
ein	ART.Acc.Sg.Neut	ein
prächtiges	ADJA.Pos.Acc.Sg.Neut	prächtiges
steinernes	ADJA.Pos.Acc.Sg.Neut	steinernes
Haus	NN.Acc.Sg.Neut	Haus
,	$,	,
darin	PROAV	darin
wohnte	VVFIN.3.Sg.Past.Ind	wohnen
ein	ART.Nom.Sg.Masc	ein
reicher	ADJA.Pos.Nom.Sg.Masc	reicher
Geizhals	NN.Nom.Sg.Masc	Geizhals
.	$.	.

