Hielten	NN.Nom.Pl.Masc	Hielte
einmal	ADV	einmal
zwei	CARD	zwei
Leute	NN.Nom.Pl.*	Leute
miteinander	ADV	miteinander
Hochzeit	NN.Acc.Sg.Fem	Hochzeit
,	$,	,
die	PDS.Nom.Pl.Neut	der
machten	VVFIN.3.Pl.Past.Ind	machen
miteinander	ADV	miteinander
aus	PTKVZ	aus
,	$,	,
wer	PWS.Nom.Sg.Masc	wer
etwas	PIAT.*.*.*	etwas
Dummes	NN.Acc.Sg.Neut	Dummes
beginge	VVFIN.3.Sg.Past.Subj	begehen
,	$,	,
sollte	VMFIN.3.Sg.Past.Ind	sollen
über	APPR	über
den	ART.Acc.Sg.Masc	der
Stuhl	NN.Acc.Sg.Masc	Stuhl
gezogen	VVPP.Psp	ziehen
werden	VAINF.Inf	werden
und	KON	und
vom	APPRART.Dat.Sg.Neut	von
Andern	NN.Dat.Sg.Neut	Andern
was	PIS.*.*.Neut	was
hinten	ADV	hinten
aufgezählt	VVPP.Psp	aufzählen
erhalten	VVINF.Inf	erhalten
.	$.	.

