Was	PWS.Nom.Sg.Neut	was
ein	ART.Nom.Sg.Masc	ein
rechter	ADJA.Pos.Nom.Sg.Masc	rechter
Bettelmann	NN.Nom.Sg.Masc	Bettelmann
ist	VAFIN.3.Sg.Pres.Ind	sein
,	$,	,
so	ADV	so
einer	PIS.Nom.Sg.Masc	einer
dem	PDS.Dat.Sg.Neut	der
der	ART.Nom.Sg.Masc	der
Schnee	NN.Gen.Pl.Masc	Schnee
und	KON	und
der	ART.Nom.Sg.Masc	der
Ostwind	NN.Nom.Sg.Masc	Ostwind
noch	ADV	noch
im	APPRART.Dat.Sg.Neut	in
hohen	ADJA.Pos.Dat.Sg.Neut	hoch
Alter	NN.Dat.Sg.Neut	Alter
das	ART.Acc.Sg.Neut	der
Gesicht	NN.Acc.Sg.Neut	Gesicht
so	ADV	so
roth	ADJD.Pos	roth
färbt	VVFIN.3.Sg.Pres.Ind	färben
wie	KOKOM	wie
Feuer	NN.Nom.Sg.Neut	Feuer
,	$,	,
von	APPR	von
dem	PRELS.Dat.Sg.Neut	der
heißt	VVFIN.3.Sg.Pres.Ind	heißen
es	PPER.3.Nom.Sg.Neut	es
mit	APPR	mit
Recht	NN.Dat.Sg.Neut	Recht
:	$.	:
Der	ART.Nom.Sg.Masc	der
Bettelmann	NN.Nom.Sg.Masc	Bettelmann
Bindet	NE.Nom.Sg.Masc	Bindet
Tod	NN.Nom.Sg.Masc	Tod
und	KON	und
Teufel	NN.Nom.Sg.Masc	Teufel
an	PTKVZ	an
.	$.	.

