Wenn	KOUS	wenn
die	ART.Nom.Pl.Neut	der
Kinder	NN.Nom.Pl.Neut	Kind
sich	PRF.3.Acc.Pl	sich
zum	APPRART.Dat.Sg.Neut	zu
Fenster	NN.Dat.Sg.Neut	Fenster
hinausbeugen	VVFIN.3.Pl.Past.Ind	hinausbeugen
,	$,	,
trotz	APPR	trotz
der	ART.*.Sg.Fem	der
Warnung	NN.*.Sg.Fem	Warnung
der	ART.Gen.Sg.Fem	der
Mutter	NN.Gen.Sg.Fem	Mutter
,	$,	,
kommt	VVFIN.3.Sg.Pres.Ind	kommen
er	PPER.3.Nom.Sg.Masc	er
(	$(	(
nämlich	ADV	nämlich
der	ART.Nom.Sg.Masc	der
Kraxelmann	NN.Nom.Sg.Masc	Kraxelmann
)	$(	)
mit	APPR	mit
einer	ART.Dat.Sg.Fem	ein
langen	ADJA.Pos.Dat.Sg.Fem	lang
Stange	NN.Dat.Sg.Fem	Stange
,	$,	,
die	PRELS.Nom.Sg.Fem	der
in	APPR	in
jedes	PIAT.Acc.Sg.Neut	jeder
Stockwerk	NN.Acc.Sg.Neut	Stockwerk
hinaufreicht	VVFIN.3.Sg.Pres.Ind	hinaufreichen
,	$,	,
und	KON	und
im	APPRART.Dat.Sg.Masc	in
Nu	NN.Dat.Sg.Masc	Nu
hat	VAFIN.3.Sg.Pres.Ind	haben
er	PPER.3.Nom.Sg.Masc	er
die	ART.Acc.Pl.Neut	der
ungezogenen	ADJA.Pos.Acc.Pl.Neut	ungezogen
Kinder	NN.Acc.Pl.Neut	Kind
heruntergeschlagen	VVPP.Psp	herunterschlagen
.	$.	.

