Sieh	VVIMP.2.Sg.Imp	sehen
nur	ADV	nur
,	$,	,
sprach	VVFIN.3.Sg.Past.Ind	sprechen
Elise	NE.Nom.Sg.Fem	Elise
zu	APPR	zu
ihrer	PPOSAT.Dat.Sg.Fem	ihr
Schwester	NN.Dat.Sg.Fem	Schwester
Julie	NE.Nom.Sg.Fem	Julie
,	$,	,
hier	ADV	hier
habe	VAFIN.1.Sg.Pres.Ind	haben
ich	PPER.1.Nom.Sg.*	ich
einige	PIAT.Acc.Pl.*	einiger
Groschen	NN.Acc.Pl.Masc	Grosche
,	$,	,
die	PRELS.Acc.Pl.Fem	der
spare	VVFIN.1.Sg.Pres.Ind	sparen
ich	PPER.1.Nom.Sg.*	ich
recht	ADJD.Pos	recht
,	$,	,
und	KON	und
wenn	KOUS	wenn
ich	PPER.1.Nom.Sg.*	ich
wieder	ADV	wieder
etwas	PIAT.*.*.*	etwas
Geld	NN.Acc.Sg.Neut	Geld
vom	APPRART.Dat.Sg.Masc	von
Vater	NN.Dat.Sg.Masc	Vater
oder	KON	oder
von	APPR	von
der	ART.Dat.Sg.Fem	der
Mutter	NN.Dat.Sg.Fem	Mutter
bekomme	VVFIN.1.Sg.Pres.Ind	bekommen
,	$,	,
wird	VAFIN.3.Sg.Pres.Ind	werden
es	PPER.3.Nom.Sg.Neut	es
zu	APPR	zu
diesen	PDS.Dat.Pl.*	dieser
gethan	VVPP.Psp	then
,	$,	,
bis	KOUS	bis
ich	PPER.1.Nom.Sg.*	ich
einige	PIAT.Acc.Pl.Masc	einiger
Thaler	NN.Acc.Pl.Masc	Thaler
zusammen	ADV	zusammen
gebracht	VVPP.Psp	bringen
,	$,	,
und	KON	und
dann	ADV	dann
kaufe	VVFIN.1.Sg.Pres.Ind	kaufen
ich	PPER.1.Nom.Sg.*	ich
zu	APPR	zu
Weihnachten	NN.Dat.Sg.Neut	Weihnachten
den	ART.Dat.Pl.*	der
Eltern	NN.Dat.Pl.*	Eltern
und	KON	und
den	ART.Dat.Pl.*	der
Geschwistern	NN.Dat.Pl.*	Geschwister
recht	ADV	recht
viele	PIAT.Acc.Pl.Fem	vieler
schöne	ADJA.Pos.Acc.Pl.Fem	schön
Sachen	NN.Acc.Pl.Fem	Sache
.	$.	.

