id	length	tokens	group	pubYear	title	author	source	lat	lon	incipit	
1	205	31	Märchen	1900	Der Tannenbaum	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Der+Tannenbaum			Draußen im Walde stand ein niedlicher, kleiner Tannenbaum; er hatte einen guten Platz, Sonne konnte er bekommen, Luft war genug da, und ringsumher wuchsen viel größere Kameraden, sowohl Tannen als Fichten.
2	172	30	Märchen	1900	Der Schweinehirt	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Der+Schweinehirt			Es war einmal ein armer Prinz; er hatte ein Königreich, welches ganz klein war, aber es war immer groß genug, um sich darauf zu verheiraten, und verheiraten wollte er sich.
3	84	15	Märchen	1900	Der Sandmann	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Der+Sandmann/%5BEinleitung%5D			Es giebt niemand in der ganzen Welt, der so viele Geschichten weiß als der Sandmann!
4	121	22	Märchen	1900	Däumelinchen	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/D%C3%A4umelinchen			Es war einmal eine Frau, die sich sehr nach einem kleinen Kinde sehnte, aber sie wußte nicht, woher sie es nehmen sollte.
5	68	11	Märchen	1900	Der kleine Klaus und der große Klaus	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Der+kleine+Klaus+und+der+gro%C3%9Fe+Klaus			In einem Dorfe wohnten zwei Leute, die beide denselben Namen hatten.
6	131	19	Märchen	1900	Der standhafte Zinnsoldat	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Der+standhafte+Zinnsoldat			Es waren einmal fünfundzwanzig Zinnsoldaten, die waren alle Brüder, denn sie waren aus einem alten zinnernen Löffel gemacht worden.
7	283	46	Märchen	1900	Der Buchweizen	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Der+Buchweizen			Häufig wenn man nach einem Gewitter an einem Acker vorübergeht, auf dem Buchweizen wächst, sieht man, daß er ganz schwarz geworden und abgesengt ist; es ist gerade, als ob eine Feuerflamme über denselben hingefahren wäre, und der Landmann sagt dann: »Das hat er vom Blitze bekommen!«
8	193	32	Märchen	1900	Der Garten des Paradieses	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Der+Garten+des+Paradieses			Da war einmal ein Königssohn, niemand hatte so viele und so schöne Bücher als er; alles, was in dieser Welt geschehen, konnte er darin lesen und die Abbildungen in prächtigen Bildern bewundern.
9	16	3	Märchen	1900	Das Gänseblümchen	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Das+G%C3%A4nsebl%C3%BCmchen			Nun höre einmal!
10	288	50	Märchen	1900	Das häßliche junge Entlein	Hans Christian Andersen	http://www.zeno.org/Literatur/M/Andersen,+Hans+Christian/M%C3%A4rchensammlung/M%C3%A4rchen/Das+h%C3%A4%C3%9Fliche+junge+Entlein			Es war herrlich draußen auf dem Lande; es war Sommer, das Korn stand gelb, der Hafer grün, das Heu war unten auf den grünen Wiesen in Schobern aufgesetzt, und da ging der Storch auf seinen langen roten Beinen und plapperte ägyptisch, denn diese Sprache hatte er von seiner Mutter gelernt.
